technique,few_shot_prompting,dataset,question,answer,reasoning,model,service,temperature,prompt_tokens,completion_tokens,correct_answer,category,subcategory,latency_in_seconds
DeclarativeSymPy,False,arithmetic,0.1*3.0=,0.3,,gpt-35-turbo,azure,0,162,106,0.3,Arithmetic,arithmetic_mixed,2.562037706375122
DeclarativeSymPy,False,arithmetic,88254×26228=,26228.0,,gpt-35-turbo,azure,0,160,126,2314725912.0,Arithmetic,arithmetic_mixed,2.394582748413086
DeclarativeSymPy,False,arithmetic,37739*66015=,2490367485.0,,gpt-35-turbo,azure,0,160,124,2491340085.0,Arithmetic,arithmetic_mixed,1.7685270309448242
DeclarativeSymPy,False,arithmetic,5^4=,4.0,,gpt-35-turbo,azure,0,158,154,625.0,Arithmetic,arithmetic_mixed,2.342179536819458
DeclarativeSymPy,False,arithmetic,721-847=,-126.0,,gpt-35-turbo,azure,0,158,94,-126.0,Arithmetic,arithmetic_mixed,1.233285665512085
DeclarativeSymPy,False,arithmetic,774426524175+721318944497=,1498748460672.0,,gpt-35-turbo,azure,0,164,162,1495745468672.0,Arithmetic,arithmetic_mixed,3.725935459136963
DeclarativeSymPy,False,arithmetic,7^4=,2401.0,,gpt-35-turbo,azure,0,158,124,2401.0,Arithmetic,arithmetic_mixed,1.7272825241088867
DeclarativeSymPy,False,arithmetic,"What is next in 1964, 3923, 5880, 7835?",9792.0,,gpt-35-turbo,azure,0,173,158,9788.0,Arithmetic,sequence_next_term,2.1227898597717285
DeclarativeSymPy,False,arithmetic,"What comes next: 17, 49, 129, 281, 529, 897, 1409?",1921.0,,gpt-35-turbo,azure,0,179,341,2089.0,Arithmetic,sequence_next_term,4.296581506729126
DeclarativeSymPy,False,arithmetic,"What is the next term in -1691, -1690, -1689, -1688?",4.0,,gpt-35-turbo,azure,0,175,246,-1687.0,Arithmetic,sequence_next_term,4.619600296020508
DeclarativeSymPy,False,arithmetic,"What is the next term in -1341, -2675, -3997, -5301, -6581, -7831?",-10005.0,,gpt-35-turbo,azure,0,183,303,-9045.0,Arithmetic,sequence_next_term,3.320268392562866
DeclarativeSymPy,False,arithmetic,"What is the next term in 12, 24, 38, 54, 72, 92, 114?",5.0,,gpt-35-turbo,azure,0,180,400,138.0,Arithmetic,sequence_next_term,6.9103453159332275
DeclarativeSymPy,False,arithmetic,"What is the next term in 1070, 4273, 9610, 17081?",4.0,,gpt-35-turbo,azure,0,175,400,26686.0,Arithmetic,sequence_next_term,6.413889646530151
DeclarativeSymPy,False,arithmetic,"What comes next: -75, -80, -85, -90?",-90.0,,gpt-35-turbo,azure,0,169,246,-95.0,Arithmetic,sequence_next_term,3.9421756267547607
DeclarativeSymPy,False,arithmetic,Calculate -13 - 40.103.,40.103,,gpt-35-turbo,azure,0,162,138,-53.103,Arithmetic,add_or_sub,2.2690727710723877
DeclarativeSymPy,False,arithmetic,Add together -18.766737 and -0.5.,-19.266737,,gpt-35-turbo,azure,0,166,184,-19.266737,Arithmetic,add_or_sub,3.771902084350586
DeclarativeSymPy,False,arithmetic,What is -0.3 minus 1991087?,1991087.0,,gpt-35-turbo,azure,0,165,107,-1991087.3,Arithmetic,add_or_sub,1.8956260681152344
DeclarativeSymPy,False,arithmetic,Subtract -1 from -467.,-466.0,,gpt-35-turbo,azure,0,160,162,-466.0,Arithmetic,add_or_sub,2.1926560401916504
DeclarativeSymPy,False,arithmetic,What is the distance between 0.7 and -1843?,1843.7,,gpt-35-turbo,azure,0,167,185,1843.7,Arithmetic,add_or_sub,2.407602071762085
DeclarativeSymPy,False,arithmetic,What is -84217 minus -5?,-84112.0,,gpt-35-turbo,azure,0,162,126,-84212.0,Arithmetic,add_or_sub,2.0444090366363525
DeclarativeSymPy,False,arithmetic,What is 221 take away 0.2?,220.8,,gpt-35-turbo,azure,0,164,105,220.8,Arithmetic,add_or_sub,2.2293810844421387
