technique,few_shot_prompting,dataset,question,answer,reasoning,model,service,temperature,prompt_tokens,completion_tokens,correct_answer,category,subcategory,latency_in_seconds
CoT,False,wordProblems,"Paco 's Countertop Company purchased pieces of marble from a quarry . The weights of the pieces they purchased were 0.3333333333333333 ton , 0.3333333333333333 ton , and 0.08333333333333333 ton . How many tons of marble did Paco 's Countertop Company purchase in all ? ",0.7499999999999999,"To find the total weight of the marble purchased by Paco's Countertop Company, we need to add the weights of the individual pieces.

Step 1: Add the weights of the pieces together.
0.3333333333333333 ton + 0.3333333333333333 ton + 0.08333333333333333 ton

Step 2: Simplify the addition.
0.6666666666666666 ton + 0.08333333333333333 ton

Step 3: Add the two numbers together.
0.7499999999999999 ton

Therefore, Paco's Countertop Company purchased a total of 0.7499999999999999 ton of marble.",gpt-35-turbo,azure,0,126,149,0.75,Word Problems,add_sub,7.386889934539795
CoT,False,wordProblems,"While playing a video game , Paul scored 3103 points . He and his cousin together have a total of 5816 points . How many points does Paul 's cousin have ? ",2713.0,"To find out how many points Paul's cousin has, we need to subtract Paul's score from the total score of both Paul and his cousin.

Step 1: Subtract Paul's score from the total score.
5816 - 3103 = 2713

Therefore, Paul's cousin has 2713 points.",gpt-35-turbo,azure,0,87,64,2713.0,Word Problems,add_sub,3.186767578125
CoT,False,wordProblems,A worker at a medical lab is studying blood samples . 2 samples contained a total of 7341 blood cells . The first sample contained 4221 blood cells . How many blood cells were in the second sample ? ,3120.0,"To find the number of blood cells in the second sample, we need to subtract the number of blood cells in the first sample from the total number of blood cells.

Step 1: Write down the given information:
Total number of blood cells = 7341
Number of blood cells in the first sample = 4221

Step 2: Set up the equation:
Let x be the number of blood cells in the second sample.
We know that the total number of blood cells is the sum of the number of blood cells in the first and second samples:
4221 + x = 7341

Step 3: Solve the equation for x:
Subtract 4221 from both sides of the equation:
x = 7341 - 4221
x = 3120

Step 4: Answer the question:
There were 3120 blood cells in the second sample.",gpt-35-turbo,azure,0,94,180,3120.0,Word Problems,add_sub,6.228410959243774
CoT,False,wordProblems,Tim has 44 books . Sam has 52 books . How many books do they have together ? ,96.0,"To find out how many books Tim and Sam have together, we need to add the number of books each of them has.

Step 1: Add the number of books Tim has (44) to the number of books Sam has (52).
44 + 52 = 96

Therefore, Tim and Sam have a total of 96 books together.",gpt-35-turbo,azure,0,70,71,96.0,Word Problems,add_sub,3.176286220550537
CoT,False,wordProblems,"A ship full of grain crashes into a coral reef . By the time the ship is fixed , 49952 tons of grain have spilled into the water . Only 918 tons of grain remain onboard . How many tons of grain did the ship originally contain ? ",50870.0,"To find out how many tons of grain the ship originally contained, we need to add the amount of spilled grain to the amount of grain that remains onboard.

Step 1: Add the amount of spilled grain to the amount of grain that remains onboard.
49952 tons + 918 tons = 50870 tons

Therefore, the ship originally contained 50870 tons of grain.",gpt-35-turbo,azure,0,101,76,50870.0,Word Problems,add_sub,3.5707783699035645
CoT,False,wordProblems,"Joan 's high school played 864 baseball games this year , 128 of the games were played at night . She attended 395 games . How many baseball games did Joan miss ? ",469.0,"To find out how many baseball games Joan missed, we need to subtract the number of games she attended from the total number of games played.

Step 1: Subtract the number of games attended from the total number of games played.
864 - 395 = 469

Therefore, Joan missed 469 baseball games.",gpt-35-turbo,azure,0,87,63,469.0,Word Problems,add_sub,2.4353766441345215
CoT,False,wordProblems,"Benny received 79 dollars and 9 movie tickets for his birthday . He went to a sporting goods store and bought a baseball glove , baseball , and bat . He had 32 dollars over , how much did he spent on the baseball gear ? ",47.0,"To find out how much Benny spent on the baseball gear, we need to subtract the amount he had left over from the total amount he received.

Step 1: Calculate the total amount Benny received.
Benny received 79 dollars and 9 movie tickets. Since we are only interested in the dollar amount, we can ignore the movie tickets for now.
Total amount received = 79 dollars.

Step 2: Calculate the amount Benny had left over.
Benny had 32 dollars left over.
Amount left over = 32 dollars.

Step 3: Calculate the amount Benny spent on the baseball gear.
Amount spent on baseball gear = Total amount received - Amount left over.
Amount spent on baseball gear = 79 dollars - 32 dollars.
Amount spent on baseball gear = 47 dollars.

Therefore, Benny spent 47 dollars on the baseball gear.",gpt-35-turbo,azure,0,99,172,47.0,Word Problems,add_sub,5.06589674949646
CoT,False,wordProblems,"Kevin bought 2 watermelons . The first watermelon was 9.91 pounds , and the second watermelon was 4.11 pounds . How many pounds of watermelon did Kevin buy ? ",14.02,"To find out how many pounds of watermelon Kevin bought, we need to add the weights of the two watermelons together.

First, let's add the weight of the first watermelon (9.91 pounds) to the weight of the second watermelon (4.11 pounds):

9.91 + 4.11 = 14.02 pounds

Therefore, Kevin bought a total of 14.02 pounds of watermelon.",gpt-35-turbo,azure,0,91,89,14.02,Word Problems,add_sub,3.5004420280456543
CoT,False,wordProblems,"Mary found 45 seashells , Melanie found 23 seashells , and Jason found 32 seashells on the beach . When they cleaned them , they discovered that 31 were cracked . How many seashells did they find together ? ",100.0,"To find the total number of seashells they found together, we need to add up the number of seashells each person found.

Mary found 45 seashells.
Melanie found 23 seashells.
Jason found 32 seashells.

To find the total, we add these numbers together:

45 + 23 + 32 = 100

So, they found a total of 100 seashells together.",gpt-35-turbo,azure,0,101,89,100.0,Word Problems,add_sub,3.9884471893310547
CoT,False,wordProblems,There are 9 oak trees currently in the park . Park workers had to cut down 2 oak trees that were damaged . How many oak trees will the park have when the workers are finished ? ,7.0,"Step 1: Start with the initial number of oak trees in the park, which is 9.
Step 2: Subtract the number of oak trees that were cut down, which is 2.
Step 3: Perform the subtraction: 9 - 2 = 7.
Step 4: The park will have 7 oak trees when the workers are finished.",gpt-35-turbo,azure,0,89,76,7.0,Word Problems,add_sub,2.4019386768341064
CoT,False,wordProblems,There are 9 pencils and 4 rulers in the drawer . Sally took 4 pencils out of the drawer . How many pencils are there now ? ,5.0,"Step 1: Start with the total number of pencils in the drawer, which is 9.
Step 2: Subtract the number of pencils Sally took out, which is 4.
Step 3: Perform the subtraction: 9 - 4 = 5.
Step 4: There are now 5 pencils left in the drawer.",gpt-35-turbo,azure,0,80,70,5.0,Word Problems,add_sub,3.082066535949707
CoT,False,wordProblems,"Alyssa went to 11 soccer games this year , but missed 12 . She went to 13 games last year and plans to go to 15 games next year . How many soccer games will Alyssa go to in all ? ",28.0,"To find the total number of soccer games Alyssa will go to in all, we need to add up the number of games she went to this year, last year, and plans to go to next year.

This year, Alyssa went to 11 soccer games but missed 12. So the total number of games she attended this year is 11 - 12 = -1. However, we cannot have a negative number of games, so we will consider this as 0 games.

Last year, Alyssa went to 13 soccer games.

Next year, Alyssa plans to go to 15 soccer games.

To find the total number of games, we add up the number of games from each year: 0 + 13 + 15 = 28.

Therefore, Alyssa will go to a total of 28 soccer games in all.",gpt-35-turbo,azure,0,97,173,39.0,Word Problems,add_sub,5.831404209136963
CoT,False,wordProblems,"Michelle began her pizza delivery route with 0.5 tank of gas in her car . When she made it back to the pizzeria , 0.16666666666666666 tank of gas was . How much gas did Michelle use ? ",0.3333333333333333,"To find out how much gas Michelle used, we need to subtract the amount of gas she had left from the amount she started with.

Step 1: Subtract the amount of gas left from the amount she started with.
0.5 tank - 0.16666666666666666 tank = 0.33333333333333334 tank

Therefore, Michelle used 0.33333333333333334 tank of gas.",gpt-35-turbo,azure,0,100,88,0.333333333333333,Word Problems,add_sub,3.1159253120422363
CoT,False,wordProblems,A restaurant served 9 hot dogs during lunch and 2 during dinner today . It served 5 of them yesterday . How many hot dogs were served today ? ,11.0,"To find the total number of hot dogs served today, we need to add the number of hot dogs served during lunch and dinner.

Given:
Hot dogs served during lunch = 9
Hot dogs served during dinner = 2

To find the total number of hot dogs served today, we add the number of hot dogs served during lunch and dinner:

9 + 2 = 11

Therefore, the restaurant served 11 hot dogs today.",gpt-35-turbo,azure,0,82,89,11.0,Word Problems,add_sub,4.135807752609253
CoT,False,wordProblems,A truck carrying 4.1 pounds of sand travels to a construction yard and loses 2.4 pounds of sand along the way . How much sand does the truck have when it arrives at the yard ? ,1.7,"To solve this problem step by step, we can start by finding the difference between the initial amount of sand and the amount lost along the way.

Step 1: Subtract the amount of sand lost from the initial amount of sand.
4.1 pounds - 2.4 pounds = 1.7 pounds

Therefore, the truck has 1.7 pounds of sand when it arrives at the construction yard.",gpt-35-turbo,azure,0,92,83,1.7000000000000002,Word Problems,add_sub,2.690561294555664
CoT,False,wordProblems,There are 43 maple trees and 22 orange trees currently in the park . Park workers will plant maple trees today . When the workers are finished there will be 54 maple trees in the park . How many maple trees did the workers plant today ? ,11.0,"To find out how many maple trees the workers planted today, we need to subtract the initial number of maple trees from the final number of maple trees.

Initial number of maple trees = 43
Final number of maple trees = 54

Number of maple trees planted today = Final number of maple trees - Initial number of maple trees
Number of maple trees planted today = 54 - 43
Number of maple trees planted today = 11

Therefore, the workers planted 11 maple trees today.",gpt-35-turbo,azure,0,100,101,11.0,Word Problems,add_sub,4.638154983520508
CoT,False,wordProblems,Gordon bought 3.42 pounds of fruit for a class party . The class ate 2.2 pounds of the fruit . How much fruit is ? ,1.22,"To find out how much fruit is left, we need to subtract the amount of fruit eaten from the amount of fruit bought.

Step 1: Subtract the amount of fruit eaten from the amount of fruit bought.
3.42 pounds - 2.2 pounds = 1.22 pounds

Therefore, there is 1.22 pounds of fruit left.",gpt-35-turbo,azure,0,81,72,1.22,Word Problems,add_sub,2.5298547744750977
CoT,False,wordProblems,Joan picked 37 oranges and Sara picked 10 oranges . Alyssa picked 30 pears . How many oranges were picked in total ? ,47.0,"To find the total number of oranges picked, we need to add the number of oranges picked by Joan and Sara. 

Joan picked 37 oranges and Sara picked 10 oranges. 

So, the total number of oranges picked by Joan and Sara is 37 + 10 = 47 oranges. 

Now, we need to add the number of pears picked by Alyssa. 

Alyssa picked 30 pears, but we are only interested in the total number of oranges. 

Therefore, the total number of oranges picked in total is 47 oranges.",gpt-35-turbo,azure,0,78,116,47.0,Word Problems,add_sub,4.234063386917114
CoT,False,wordProblems,Jason has 18 books and he has read 9 of them . Mary has 42 books . How many books do they have together ? ,51.0,"To find out how many books Jason and Mary have together, we need to add the number of books each of them has.

Jason has 18 books and he has read 9 of them, so he has 18 - 9 = 9 books left.

Mary has 42 books.

To find the total number of books they have together, we add the number of books Jason has left to the number of books Mary has: 9 + 42 = 51.

Therefore, Jason and Mary have a total of 51 books together.",gpt-35-turbo,azure,0,78,110,60.0,Word Problems,add_sub,3.886030912399292
CoT,False,wordProblems,Sally had 13 peaches at her roadside fruit dish . She went to the orchard and picked peaches to stock up . There are now 55 peaches . how many did she pick ? ,42.0,"To find out how many peaches Sally picked, we need to subtract the initial number of peaches from the final number of peaches.

Final number of peaches = 55
Initial number of peaches = 13

To find out how many peaches Sally picked, we can subtract the initial number of peaches from the final number of peaches:

55 - 13 = 42

Therefore, Sally picked 42 peaches.",gpt-35-turbo,azure,0,90,90,42.0,Word Problems,add_sub,3.545673131942749
CoT,False,wordProblems,Sandy had 36 pennies and 31 nickels in her bank . Her dad borrowed 20 nickels from Sandy . How many nickels does she have now ? ,11.0,"Step 1: Start with the number of nickels Sandy had initially, which is 31.
Step 2: Subtract the number of nickels her dad borrowed, which is 20.
31 - 20 = 11
Step 3: Sandy now has 11 nickels left.",gpt-35-turbo,azure,0,84,60,11.0,Word Problems,add_sub,2.3214237689971924
