technique,few_shot_prompting,dataset,question,answer,reasoning,model,service,temperature,prompt_tokens,completion_tokens,correct_answer,category,subcategory,latency_in_seconds
Baseline,False,arithmetic,0.1*3.0=,0.3,,gpt-35-turbo,azure,0,41,20,0.3,Arithmetic,arithmetic_mixed,0.3504300117492676
Baseline,False,arithmetic,88254×26228=,2314682712.0,,gpt-35-turbo,azure,0,39,22,2314725912.0,Arithmetic,arithmetic_mixed,0.538785457611084
Baseline,False,arithmetic,37739*66015=,2491014685.0,,gpt-35-turbo,azure,0,39,22,2491340085.0,Arithmetic,arithmetic_mixed,0.42193102836608887
Baseline,False,arithmetic,5^4=,625.0,,gpt-35-turbo,azure,0,37,1,625.0,Arithmetic,arithmetic_mixed,0.09773778915405273
Baseline,False,arithmetic,721-847=,-126.0,,gpt-35-turbo,azure,0,37,13,-126.0,Arithmetic,arithmetic_mixed,0.44483351707458496
Baseline,False,arithmetic,774426524175+721318944497=,1495745468672.0,,gpt-35-turbo,azure,0,43,28,1495745468672.0,Arithmetic,arithmetic_mixed,0.5260531902313232
Baseline,False,arithmetic,7^4=,2401.0,,gpt-35-turbo,azure,0,37,14,2401.0,Arithmetic,arithmetic_mixed,0.3168463706970215
Baseline,False,arithmetic,"What is next in 1964, 3923, 5880, 7835?",9799.0,,gpt-35-turbo,azure,0,52,45,9788.0,Arithmetic,sequence_next_term,0.5246319770812988
Baseline,False,arithmetic,"What comes next: 17, 49, 129, 281, 529, 897, 1409?",2049.0,,gpt-35-turbo,azure,0,58,11,2089.0,Arithmetic,sequence_next_term,0.3277285099029541
Baseline,False,arithmetic,"What is the next term in -1691, -1690, -1689, -1688?",-1687.0,,gpt-35-turbo,azure,0,54,26,-1687.0,Arithmetic,sequence_next_term,0.5225465297698975
Baseline,False,arithmetic,"What is the next term in -1341, -2675, -3997, -5301, -6581, -7831?",-9045.0,,gpt-35-turbo,azure,0,62,11,-9045.0,Arithmetic,sequence_next_term,0.3216865062713623
Baseline,False,arithmetic,"What is the next term in 12, 24, 38, 54, 72, 92, 114?",138.0,,gpt-35-turbo,azure,0,59,10,138.0,Arithmetic,sequence_next_term,0.31635618209838867
Baseline,False,arithmetic,"What is the next term in 1070, 4273, 9610, 17081?",30730.0,,gpt-35-turbo,azure,0,54,11,26686.0,Arithmetic,sequence_next_term,0.3257327079772949
Baseline,False,arithmetic,"What comes next: -75, -80, -85, -90?",-95.0,,gpt-35-turbo,azure,0,48,10,-95.0,Arithmetic,sequence_next_term,0.32607102394104004
Baseline,False,arithmetic,Calculate -13 - 40.103.,-53.103,,gpt-35-turbo,azure,0,41,18,-53.103,Arithmetic,add_or_sub,0.421856164932251
