technique,dataset,question,answer,reasoning,model,service,temperature,prompt_tokens,completion_tokens,correct_answer,category,subcategory,latency_in_seconds
Baseline,arithmetic,0.1*3.0=,0.3,,gpt-35-turbo,azure,0,172,3,0.3,Arithmetic,arithmetic_mixed,0.23992156982421875
Baseline,arithmetic,88254×26228=,"The product of 88254 and 26228 is 2,314,303,512.",,gpt-35-turbo,azure,0,170,20,2314725912.0,Arithmetic,arithmetic_mixed,0.7301695346832275
Baseline,arithmetic,37739*66015=,"2,492,244,685",,gpt-35-turbo,azure,0,170,7,2491340085.0,Arithmetic,arithmetic_mixed,0.32788729667663574
Baseline,arithmetic,5^4=,625,,gpt-35-turbo,azure,0,168,1,625.0,Arithmetic,arithmetic_mixed,0.11484789848327637
Baseline,arithmetic,721-847=,-126,,gpt-35-turbo,azure,0,168,2,-126.0,Arithmetic,arithmetic_mixed,0.1174020767211914
Baseline,arithmetic,774426524175+721318944497=,"1,495,745,468,672",,gpt-35-turbo,azure,0,174,9,1495745468672.0,Arithmetic,arithmetic_mixed,0.2265024185180664
Baseline,arithmetic,7^4=,2401,,gpt-35-turbo,azure,0,168,2,2401.0,Arithmetic,arithmetic_mixed,0.18747806549072266
Baseline,arithmetic,"What is next in 1964, 3923, 5880, 7835?",9784,,gpt-35-turbo,azure,0,183,2,9788.0,Arithmetic,sequence_next_term,0.09973526000976562
Baseline,arithmetic,"What comes next: 17, 49, 129, 281, 529, 897, 1409?",2041,,gpt-35-turbo,azure,0,189,2,2089.0,Arithmetic,sequence_next_term,0.10608315467834473
Baseline,arithmetic,"What is the next term in -1691, -1690, -1689, -1688?",-1687,,gpt-35-turbo,azure,0,185,3,-1687.0,Arithmetic,sequence_next_term,0.2499251365661621
Baseline,arithmetic,"What is the next term in -1341, -2675, -3997, -5301, -6581, -7831?",-9041,,gpt-35-turbo,azure,0,193,3,-9045.0,Arithmetic,sequence_next_term,0.13626813888549805
Baseline,arithmetic,"What is the next term in 12, 24, 38, 54, 72, 92, 114?",134,,gpt-35-turbo,azure,0,190,1,138.0,Arithmetic,sequence_next_term,0.12071490287780762
Baseline,arithmetic,"What is the next term in 1070, 4273, 9610, 17081?",28930,,gpt-35-turbo,azure,0,185,2,26686.0,Arithmetic,sequence_next_term,0.4131739139556885
