technique,few_shot_prompting,dataset,question,answer,reasoning,model,service,temperature,prompt_tokens,completion_tokens,correct_answer,category,subcategory,latency_in_seconds
RolePlaying,True,arithmetic,0.1*3.0=,0.3,0.3,gpt-35-turbo,azure,0,256,3,0.3,Arithmetic,arithmetic_mixed,0.24321794509887695
RolePlaying,True,arithmetic,88254×26228=,2314303512.0,"The product of 88254 and 26228 is 2,314,303,512.",gpt-35-turbo,azure,0,254,20,2314725912.0,Arithmetic,arithmetic_mixed,0.533064603805542
RolePlaying,True,arithmetic,37739*66015=,2492051085.0,"The product of 37739 and 66015 is 2,492,051,085.",gpt-35-turbo,azure,0,254,20,2491340085.0,Arithmetic,arithmetic_mixed,0.45318174362182617
RolePlaying,True,arithmetic,5^4=,625.0,625,gpt-35-turbo,azure,0,252,1,625.0,Arithmetic,arithmetic_mixed,0.15804338455200195
RolePlaying,True,arithmetic,721-847=,-126.0,-126,gpt-35-turbo,azure,0,252,2,-126.0,Arithmetic,arithmetic_mixed,0.23427391052246094
RolePlaying,True,arithmetic,774426524175+721318944497=,1495745468672.0,"1,495,745,468,672",gpt-35-turbo,azure,0,258,9,1495745468672.0,Arithmetic,arithmetic_mixed,0.3363199234008789
RolePlaying,True,arithmetic,7^4=,2401.0,7^4 = 2401,gpt-35-turbo,azure,0,252,7,2401.0,Arithmetic,arithmetic_mixed,0.24830293655395508
RolePlaying,True,arithmetic,"What is next in 1964, 3923, 5880, 7835?",7856.0,"The pattern in the given sequence is that each number is obtained by adding 1964 to the previous number. 

1964 + 1964 = 3928
3928 + 1964 = 5892
5892 + 1964 = 7856

Therefore, the next number in the sequence would be 7856.",gpt-35-turbo,azure,0,267,70,9788.0,Arithmetic,sequence_next_term,1.1671929359436035
RolePlaying,True,arithmetic,"What comes next: 17, 49, 129, 281, 529, 897, 1409?",1409.0,"The pattern in the given sequence is as follows:
17 + 32 = 49
49 + 52 = 129
129 + 72 = 281
281 + 92 = 529
529 + 112 = 897
897 + 132 = 1409

Therefore, the next number in the sequence is 1409.",gpt-35-turbo,azure,0,273,72,2089.0,Arithmetic,sequence_next_term,1.1705949306488037
RolePlaying,True,arithmetic,"What is the next term in -1691, -1690, -1689, -1688?",-1687.0,-1687,gpt-35-turbo,azure,0,269,3,-1687.0,Arithmetic,sequence_next_term,0.24812865257263184
RolePlaying,True,arithmetic,"What is the next term in -1341, -2675, -3997, -5301, -6581, -7831?",-9045.0,-9045,gpt-35-turbo,azure,0,277,3,-9045.0,Arithmetic,sequence_next_term,0.33953404426574707
RolePlaying,True,arithmetic,"What is the next term in 12, 24, 38, 54, 72, 92, 114?",138.0,"The pattern in the given sequence is not immediately clear. However, upon closer inspection, we can observe that each term is obtained by adding an incrementing odd number to the previous term. 

12 + 12 = 24
24 + 14 = 38
38 + 16 = 54
54 + 18 = 72
72 + 20 = 92
92 + 22 = 114

Therefore, the next term in the sequence is 114 + 24 = 138.",gpt-35-turbo,azure,0,274,104,138.0,Arithmetic,sequence_next_term,1.8801631927490234
RolePlaying,True,arithmetic,"What is the next term in 1070, 4273, 9610, 17081?",28970.0,28970,gpt-35-turbo,azure,0,269,2,26686.0,Arithmetic,sequence_next_term,0.1120309829711914
RolePlaying,True,arithmetic,"What comes next: -75, -80, -85, -90?",-95.0,-95,gpt-35-turbo,azure,0,263,2,-95.0,Arithmetic,sequence_next_term,0.17020082473754883
RolePlaying,True,arithmetic,Calculate -13 - 40.103.,-53.103,-53.103,gpt-35-turbo,azure,0,256,4,-53.103,Arithmetic,add_or_sub,0.24646520614624023
RolePlaying,True,arithmetic,Add together -18.766737 and -0.5.,-19.266737,-19.266737,gpt-35-turbo,azure,0,260,5,-19.266737,Arithmetic,add_or_sub,0.2408604621887207
RolePlaying,True,arithmetic,What is -0.3 minus 1991087?,-1991087.3,-1991087.3,gpt-35-turbo,azure,0,259,6,-1991087.3,Arithmetic,add_or_sub,0.55552077293396
RolePlaying,True,arithmetic,Subtract -1 from -467.,-466.0,The result of subtracting -1 from -467 is -466.,gpt-35-turbo,azure,0,254,14,-466.0,Arithmetic,add_or_sub,0.2826814651489258
RolePlaying,True,arithmetic,What is the distance between 0.7 and -1843?,1843.7,The distance between 0.7 and -1843 is 1843.7.,gpt-35-turbo,azure,0,261,18,1843.7,Arithmetic,add_or_sub,0.6087479591369629
RolePlaying,True,arithmetic,What is -84217 minus -5?,-84212.0,-84212,gpt-35-turbo,azure,0,256,3,-84212.0,Arithmetic,add_or_sub,0.2466106414794922
RolePlaying,True,arithmetic,What is 221 take away 0.2?,220.8,220.8,gpt-35-turbo,azure,0,258,3,220.8,Arithmetic,add_or_sub,0.23423266410827637
RolePlaying,True,arithmetic,0 - (10 - (4 + 5)),-1.0,0 - (10 - (4 + 5)) = 0 - (10 - 9) = 0 - 1 = -1,gpt-35-turbo,azure,0,259,30,-1.0,Arithmetic,add_sub_multiple,0.5546996593475342
RolePlaying,True,arithmetic,0 - 2 - (4 - (-5 + 11)),0.0,"0 - 2 - (4 - (-5 + 11)) simplifies to:

0 - 2 - (4 - 6)
0 - 2 - (-2)
0 - 2 + 2
0

Therefore, the answer is 0.",gpt-35-turbo,azure,0,262,55,0.0,Arithmetic,add_sub_multiple,1.0612242221832275
RolePlaying,True,arithmetic,Evaluate -7 + (-7 - -2) - -5 - -9.,2.0,"-7 + (-7 - -2) - -5 - -9 simplifies to:

-7 + (-7 + 2) - (-5) - (-9)

-7 + (-5) - (-5) - (-9)

-7 - 5 + 5 + 9

-12 + 14

2

Therefore, the answer is 2.",gpt-35-turbo,azure,0,264,78,2.0,Arithmetic,add_sub_multiple,1.5836405754089355
RolePlaying,True,arithmetic,Calculate (3 - (-4 - -3)) + -4.,0.0,"The calculation would be as follows:

(3 - (-4 - -3)) + -4

First, let's simplify the expression inside the parentheses:

(3 - (-4 + 3)) + -4

Next, simplify the addition inside the parentheses:

(3 - (-1)) + -4

Now, simplify the subtraction:

(3 + 1) + -4

Finally, perform the addition:

4 + -4

The sum is 0.",gpt-35-turbo,azure,0,261,96,0.0,Arithmetic,add_sub_multiple,1.5781807899475098
RolePlaying,True,arithmetic,Calculate 1 - (4 - 8 - -8).,-19.0,1 - (4 - 8 - -8) = 1 - (4 - 8 + 8) = 1 - (4 + 8 + 8) = 1 - 20 = -19,gpt-35-turbo,azure,0,260,46,-3.0,Arithmetic,add_sub_multiple,0.8497672080993652
RolePlaying,True,arithmetic,Calculate -8 + 3 - (1 + -4 - 0).,-13.0,"-8 + 3 - (1 + -4 - 0) = -8 + 3 - (1 - (-4) - 0)
= -8 + 3 - (1 + 4 - 0)
= -8 + 3 - (5 - 0)
= -8 + 3 - 5 + 0
= -13 + 0
= -13",gpt-35-turbo,azure,0,263,84,-2.0,Arithmetic,add_sub_multiple,1.686002492904663
RolePlaying,True,arithmetic,What is 9 - 2 - 11 - (-1 - 1)?,-2.0,-2,gpt-35-turbo,azure,0,264,2,-2.0,Arithmetic,add_sub_multiple,0.24305939674377441
RolePlaying,True,arithmetic,-6405 divided by -105,61.0,61,gpt-35-turbo,azure,0,254,1,61.0,Arithmetic,div,0.12000465393066406
RolePlaying,True,arithmetic,Calculate -4450 divided by 178.,-25.0,-25,gpt-35-turbo,azure,0,256,2,-25.0,Arithmetic,div,0.25649261474609375
RolePlaying,True,arithmetic,263 divided by 1,263.0,263 divided by 1 is equal to 263.,gpt-35-turbo,azure,0,253,11,263.0,Arithmetic,div,0.24788260459899902
RolePlaying,True,arithmetic,Calculate -732 divided by 4.,-183.0,-183,gpt-35-turbo,azure,0,255,2,-183.0,Arithmetic,div,0.250809907913208
RolePlaying,True,arithmetic,What is -44030 divided by -1190?,37.0,37,gpt-35-turbo,azure,0,258,1,37.0,Arithmetic,div,0.11606812477111816
RolePlaying,True,arithmetic,What is -546 divided by 6?,-91.0,-91,gpt-35-turbo,azure,0,256,2,-91.0,Arithmetic,div,0.2619032859802246
RolePlaying,True,arithmetic,Calculate -102 divided by 2.,-51.0,-51,gpt-35-turbo,azure,0,255,2,-51.0,Arithmetic,div,0.24504685401916504
RolePlaying,True,arithmetic,What is 5 times -34?,-170.0,-170,gpt-35-turbo,azure,0,255,2,-170.0,Arithmetic,mul,0.12861227989196777
RolePlaying,True,arithmetic,What is 427 times 0?,0.0,0,gpt-35-turbo,azure,0,255,1,0.0,Arithmetic,mul,0.12225580215454102
RolePlaying,True,arithmetic,What is 1247 times 0.5?,623.5,623.5,gpt-35-turbo,azure,0,258,3,623.5,Arithmetic,mul,0.14865851402282715
RolePlaying,True,arithmetic,Work out 0 * -3.4.,0.0,0,gpt-35-turbo,azure,0,257,1,0.0,Arithmetic,mul,0.11922335624694824
RolePlaying,True,arithmetic,-2167 times 3,-6501.0,-6501,gpt-35-turbo,azure,0,253,3,-6501.0,Arithmetic,mul,0.18828654289245605
RolePlaying,True,arithmetic,-45 * 66,-2970.0,-2970,gpt-35-turbo,azure,0,252,3,-2970.0,Arithmetic,mul,0.11392545700073242
RolePlaying,True,arithmetic,What is the product of 0.3 and -81?,-24.3,The product of 0.3 and -81 is -24.3.,gpt-35-turbo,azure,0,260,16,-24.3,Arithmetic,mul,0.4792795181274414
RolePlaying,True,arithmetic,Evaluate -3*(-3)/(-27)*-15.,5.0,"The expression can be simplified step by step:

-3 * (-3) = 9
9 / (-27) = -1/3
-1/3 * (-15) = 5

Therefore, the value of the expression is 5.",gpt-35-turbo,azure,0,259,53,5.0,Arithmetic,mul_div_multiple,0.8491203784942627
RolePlaying,True,arithmetic,What is (2/16*-4)/((-2)/(-8))?,1.0,The value of the expression (2/16*-4)/((-2)/(-8)) is 1.,gpt-35-turbo,azure,0,262,22,-2.0,Arithmetic,mul_div_multiple,0.4445812702178955
RolePlaying,True,arithmetic,(-47)/(-188)*(-24)/2,3.0,(-47)/(-188)*(-24)/2 = 3,gpt-35-turbo,azure,0,257,13,-3.0,Arithmetic,mul_div_multiple,0.3538544178009033
RolePlaying,True,arithmetic,Calculate 1/(-12)*-4*-15.,5.0,"The calculation is as follows:

1/(-12) * (-4) * (-15) = 1/12 * (-4) * (-15) = -1/3 * (-15) = 5",gpt-35-turbo,azure,0,259,44,-5.0,Arithmetic,mul_div_multiple,0.7517576217651367
RolePlaying,True,arithmetic,(-3)/((-18)/4)*-3,2.0,(-3)/((-18)/4)*-3 = 2,gpt-35-turbo,azure,0,257,13,-2.0,Arithmetic,mul_div_multiple,0.44668149948120117
RolePlaying,True,arithmetic,What is -1*(-6)/(-12)*2?,1.0,1,gpt-35-turbo,azure,0,259,1,-1.0,Arithmetic,mul_div_multiple,0.11220788955688477
RolePlaying,True,arithmetic,Evaluate (-1)/((-8)/(48/(-3))).,-2.0,"To evaluate the expression (-1)/((-8)/(48/(-3))), we follow the order of operations, which is parentheses, then division, and finally, multiplication.

First, let's simplify the expression inside the parentheses: 48/(-3) = -16.

Now, we can rewrite the expression as (-1)/((-8)/(-16)).

Next, we divide -8 by -16: (-8)/(-16) = 0.5.

Finally, we divide -1 by 0.5: (-1)/0.5 = -2.

Therefore, the value of the expression is -2.",gpt-35-turbo,azure,0,259,128,-2.0,Arithmetic,mul_div_multiple,2.1266188621520996
RolePlaying,True,arithmetic,How many millilitres are there in 910.4399 litres?,910439.9,"910,439.9",gpt-35-turbo,azure,0,262,5,910439.9,Arithmetic,conversion,0.24060487747192383
RolePlaying,True,arithmetic,What is fifty-five halves of a kilometer in meters?,27500.0,"55 halves of a kilometer is equal to 27.5 kilometers. 

To convert kilometers to meters, we multiply by 1000 since there are 1000 meters in a kilometer.

So, 27.5 kilometers is equal to 27,500 meters.",gpt-35-turbo,azure,0,259,56,27500.0,Arithmetic,conversion,1.271125316619873
RolePlaying,True,arithmetic,What is 1.946047l in millilitres?,1946.047,1.946047 liters is equal to 1946.047 milliliters.,gpt-35-turbo,azure,0,260,17,1946.047,Arithmetic,conversion,0.35512638092041016
RolePlaying,True,arithmetic,What is 0.929527 centuries in millennia?,0.0929527,0.0929527 millennia,gpt-35-turbo,azure,0,258,6,0.0929527,Arithmetic,conversion,0.23919391632080078
RolePlaying,True,arithmetic,How many millilitres are there in one twentieth of a litre?,50.0,There are 50 millilitres in one twentieth of a litre.,gpt-35-turbo,azure,0,261,14,50.0,Arithmetic,conversion,0.4582219123840332
RolePlaying,True,arithmetic,What is one tenth of a milligram in nanograms?,100.0,One tenth of a milligram is equal to 100 nanograms.,gpt-35-turbo,azure,0,259,14,100000.0,Arithmetic,conversion,0.33485865592956543
RolePlaying,True,arithmetic,What is 2/125 of a meter in millimeters?,16.0,2/125 of a meter is equal to 16 millimeters.,gpt-35-turbo,azure,0,260,14,16.0,Arithmetic,conversion,0.44771671295166016
RolePlaying,True,arithmetic,How many minutes are there between 2:12 PM and 3:43 PM?,91.0,91,gpt-35-turbo,azure,0,265,1,91.0,Arithmetic,time,0.11002349853515625
RolePlaying,True,arithmetic,How many minutes are there between 10:12 PM and 5:36 AM?,444.0,444,gpt-35-turbo,azure,0,265,1,444.0,Arithmetic,time,0.10310864448547363
RolePlaying,True,arithmetic,How many minutes are there between 12:25 AM and 7:35 AM?,430.0,430,gpt-35-turbo,azure,0,265,1,430.0,Arithmetic,time,0.11262059211730957
RolePlaying,True,arithmetic,How many minutes are there between 11:23 AM and 12:03 PM?,40.0,40,gpt-35-turbo,azure,0,265,1,40.0,Arithmetic,time,0.1379251480102539
RolePlaying,True,arithmetic,How many minutes are there between 12:40 AM and 3:18 AM?,158.0,158,gpt-35-turbo,azure,0,265,1,158.0,Arithmetic,time,0.12312602996826172
RolePlaying,True,arithmetic,How many minutes are there between 5:28 PM and 6:20 PM?,52.0,52,gpt-35-turbo,azure,0,265,1,52.0,Arithmetic,time,0.15079951286315918
RolePlaying,True,arithmetic,How many minutes are there between 11:16 PM and 10:18 AM?,542.0,542,gpt-35-turbo,azure,0,265,1,662.0,Arithmetic,time,0.12592196464538574
RolePlaying,True,arithmetic,What is the remainder when 50 is divided by 18?,14.0,14,gpt-35-turbo,azure,0,260,1,14.0,Arithmetic,div_remainder,0.11882567405700684
RolePlaying,True,arithmetic,What is the remainder when 956 is divided by 287?,78.0,78,gpt-35-turbo,azure,0,260,1,95.0,Arithmetic,div_remainder,0.13438630104064941
RolePlaying,True,arithmetic,What is the remainder when 2198 is divided by 44?,18.0,The remainder when 2198 is divided by 44 is 18.,gpt-35-turbo,azure,0,261,15,42.0,Arithmetic,div_remainder,0.4190812110900879
