technique,few_shot_prompting,dataset,question,answer,reasoning,model,service,temperature,prompt_tokens,completion_tokens,correct_answer,category,subcategory,latency_in_seconds
Baseline,True,arithmetic,0.1*3.0=,0.3,,gpt-35-turbo,azure,0,172,3,0.3,Arithmetic,arithmetic_mixed,0.33290553092956543
Baseline,True,arithmetic,88254×26228=,2314303512.0,,gpt-35-turbo,azure,0,170,20,2314725912.0,Arithmetic,arithmetic_mixed,0.751448392868042
Baseline,True,arithmetic,37739*66015=,2492244685.0,,gpt-35-turbo,azure,0,170,7,2491340085.0,Arithmetic,arithmetic_mixed,0.3282155990600586
Baseline,True,arithmetic,5^4=,625.0,,gpt-35-turbo,azure,0,168,1,625.0,Arithmetic,arithmetic_mixed,0.17429113388061523
Baseline,True,arithmetic,721-847=,-126.0,,gpt-35-turbo,azure,0,168,2,-126.0,Arithmetic,arithmetic_mixed,0.22528505325317383
Baseline,True,arithmetic,774426524175+721318944497=,1495745468672.0,,gpt-35-turbo,azure,0,174,9,1495745468672.0,Arithmetic,arithmetic_mixed,0.3733086585998535
Baseline,True,arithmetic,7^4=,2401.0,,gpt-35-turbo,azure,0,168,2,2401.0,Arithmetic,arithmetic_mixed,0.17528533935546875
Baseline,True,arithmetic,"What is next in 1964, 3923, 5880, 7835?",9784.0,,gpt-35-turbo,azure,0,183,2,9788.0,Arithmetic,sequence_next_term,0.2587752342224121
Baseline,True,arithmetic,"What comes next: 17, 49, 129, 281, 529, 897, 1409?",2041.0,,gpt-35-turbo,azure,0,189,2,2089.0,Arithmetic,sequence_next_term,0.22621989250183105
Baseline,True,arithmetic,"What is the next term in -1691, -1690, -1689, -1688?",-1687.0,,gpt-35-turbo,azure,0,185,3,-1687.0,Arithmetic,sequence_next_term,0.22446680068969727
Baseline,True,arithmetic,"What is the next term in -1341, -2675, -3997, -5301, -6581, -7831?",-9041.0,,gpt-35-turbo,azure,0,193,3,-9045.0,Arithmetic,sequence_next_term,0.22397732734680176
Baseline,True,arithmetic,"What is the next term in 12, 24, 38, 54, 72, 92, 114?",134.0,,gpt-35-turbo,azure,0,190,1,138.0,Arithmetic,sequence_next_term,0.16084074974060059
Baseline,True,arithmetic,"What is the next term in 1070, 4273, 9610, 17081?",28930.0,,gpt-35-turbo,azure,0,185,2,26686.0,Arithmetic,sequence_next_term,0.26939916610717773
Baseline,True,arithmetic,"What comes next: -75, -80, -85, -90?",-95.0,,gpt-35-turbo,azure,0,179,2,-95.0,Arithmetic,sequence_next_term,0.15556669235229492
Baseline,True,arithmetic,Calculate -13 - 40.103.,-53.103,,gpt-35-turbo,azure,0,172,4,-53.103,Arithmetic,add_or_sub,0.287276029586792
Baseline,True,arithmetic,Add together -18.766737 and -0.5.,-19.266737,,gpt-35-turbo,azure,0,176,5,-19.266737,Arithmetic,add_or_sub,0.33005475997924805
Baseline,True,arithmetic,What is -0.3 minus 1991087?,-1991087.3,,gpt-35-turbo,azure,0,175,6,-1991087.3,Arithmetic,add_or_sub,0.3107776641845703
Baseline,True,arithmetic,Subtract -1 from -467.,-466.0,,gpt-35-turbo,azure,0,170,2,-466.0,Arithmetic,add_or_sub,0.17369484901428223
Baseline,True,arithmetic,What is the distance between 0.7 and -1843?,1843.7,,gpt-35-turbo,azure,0,177,18,1843.7,Arithmetic,add_or_sub,0.4801666736602783
Baseline,True,arithmetic,What is -84217 minus -5?,-84212.0,,gpt-35-turbo,azure,0,172,3,-84212.0,Arithmetic,add_or_sub,0.17734766006469727
Baseline,True,arithmetic,What is 221 take away 0.2?,220.8,,gpt-35-turbo,azure,0,174,3,220.8,Arithmetic,add_or_sub,0.2646474838256836
Baseline,True,arithmetic,0 - (10 - (4 + 5)),-1.0,,gpt-35-turbo,azure,0,175,2,-1.0,Arithmetic,add_sub_multiple,0.32602906227111816
Baseline,True,arithmetic,0 - 2 - (4 - (-5 + 11)),-2.0,,gpt-35-turbo,azure,0,178,2,0.0,Arithmetic,add_sub_multiple,0.20881247520446777
Baseline,True,arithmetic,Evaluate -7 + (-7 - -2) - -5 - -9.,2.0,,gpt-35-turbo,azure,0,180,71,2.0,Arithmetic,add_sub_multiple,1.4523804187774658
Baseline,True,arithmetic,Calculate (3 - (-4 - -3)) + -4.,6.0,,gpt-35-turbo,azure,0,177,1,0.0,Arithmetic,add_sub_multiple,0.17975163459777832
Baseline,True,arithmetic,Calculate 1 - (4 - 8 - -8).,5.0,,gpt-35-turbo,azure,0,176,1,-3.0,Arithmetic,add_sub_multiple,0.14707040786743164
Baseline,True,arithmetic,Calculate -8 + 3 - (1 + -4 - 0).,-2.0,,gpt-35-turbo,azure,0,179,2,-2.0,Arithmetic,add_sub_multiple,0.1506659984588623
Baseline,True,arithmetic,What is 9 - 2 - 11 - (-1 - 1)?,-2.0,,gpt-35-turbo,azure,0,180,2,-2.0,Arithmetic,add_sub_multiple,0.10475730895996094
Baseline,True,arithmetic,-6405 divided by -105,61.0,,gpt-35-turbo,azure,0,170,1,61.0,Arithmetic,div,0.11976885795593262
Baseline,True,arithmetic,Calculate -4450 divided by 178.,-25.0,,gpt-35-turbo,azure,0,172,2,-25.0,Arithmetic,div,0.1294867992401123
Baseline,True,arithmetic,263 divided by 1,263.0,,gpt-35-turbo,azure,0,169,1,263.0,Arithmetic,div,0.11968731880187988
Baseline,True,arithmetic,Calculate -732 divided by 4.,-183.0,,gpt-35-turbo,azure,0,171,2,-183.0,Arithmetic,div,0.12922358512878418
Baseline,True,arithmetic,What is -44030 divided by -1190?,37.0,,gpt-35-turbo,azure,0,174,1,37.0,Arithmetic,div,0.09487485885620117
Baseline,True,arithmetic,What is -546 divided by 6?,-91.0,,gpt-35-turbo,azure,0,172,2,-91.0,Arithmetic,div,0.1437389850616455
