technique,dataset,question,answer,reasoning,model,service,temperature,prompt_tokens,completion_tokens,correct_answer,category,subcategory,latency_in_seconds
Baseline,wordProblems,"Paco 's Countertop Company purchased pieces of marble from a quarry . The weights of the pieces they purchased were 0.3333333333333333 ton , 0.3333333333333333 ton , and 0.08333333333333333 ton . How many tons of marble did Paco 's Countertop Company purchase in all ? ",The total weight of the marble purchased by Paco's Countertop Company is 0.3333333333333333 + 0.3333333333333333 + 0.08333333333333333 = 0.75 tons.,,gpt-35-turbo,azure,0,348,52,0.75,Word Problems,add_sub,0.7901365756988525
Baseline,wordProblems,"While playing a video game , Paul scored 3103 points . He and his cousin together have a total of 5816 points . How many points does Paul 's cousin have ? ",2713,,gpt-35-turbo,azure,0,309,2,2713.0,Word Problems,add_sub,0.2059464454650879
Baseline,wordProblems,A worker at a medical lab is studying blood samples . 2 samples contained a total of 7341 blood cells . The first sample contained 4221 blood cells . How many blood cells were in the second sample ? ,3120,,gpt-35-turbo,azure,0,316,2,3120.0,Word Problems,add_sub,0.13271641731262207
Baseline,wordProblems,Tim has 44 books . Sam has 52 books . How many books do they have together ? ,96,,gpt-35-turbo,azure,0,292,1,96.0,Word Problems,add_sub,0.14519047737121582
Baseline,wordProblems,"A ship full of grain crashes into a coral reef . By the time the ship is fixed , 49952 tons of grain have spilled into the water . Only 918 tons of grain remain onboard . How many tons of grain did the ship originally contain ? ",The ship originally contained 50870 tons of grain.,,gpt-35-turbo,azure,0,323,11,50870.0,Word Problems,add_sub,0.37696290016174316
Baseline,wordProblems,"Joan 's high school played 864 baseball games this year , 128 of the games were played at night . She attended 395 games . How many baseball games did Joan miss ? ",Joan missed 471 baseball games.,,gpt-35-turbo,azure,0,309,8,469.0,Word Problems,add_sub,0.25074052810668945
Baseline,wordProblems,"Benny received 79 dollars and 9 movie tickets for his birthday . He went to a sporting goods store and bought a baseball glove , baseball , and bat . He had 32 dollars over , how much did he spent on the baseball gear ? ",47,,gpt-35-turbo,azure,0,321,1,47.0,Word Problems,add_sub,0.11939811706542969
Baseline,wordProblems,"Kevin bought 2 watermelons . The first watermelon was 9.91 pounds , and the second watermelon was 4.11 pounds . How many pounds of watermelon did Kevin buy ? ",14.02 pounds,,gpt-35-turbo,azure,0,313,4,14.02,Word Problems,add_sub,0.13184666633605957
Baseline,wordProblems,"Mary found 45 seashells , Melanie found 23 seashells , and Jason found 32 seashells on the beach . When they cleaned them , they discovered that 31 were cracked . How many seashells did they find together ? ",119,,gpt-35-turbo,azure,0,323,1,100.0,Word Problems,add_sub,0.11775541305541992
Baseline,wordProblems,There are 9 oak trees currently in the park . Park workers had to cut down 2 oak trees that were damaged . How many oak trees will the park have when the workers are finished ? ,7,,gpt-35-turbo,azure,0,311,1,7.0,Word Problems,add_sub,0.16100859642028809
