technique,few_shot_prompting,dataset,question,answer,reasoning,model,service,temperature,prompt_tokens,completion_tokens,correct_answer,category,subcategory,latency_in_seconds
PaL,True,arithmetic,0.1*3.0=,0.30000000000000004,"
def solution():
    """"""Calculate the product of 0.1 and 3.0.""""""
    result = 0.1 * 3.0
    return result",gpt-35-turbo,azure,0,443,36,0.3,Arithmetic,arithmetic_mixed,0.7889652252197266
PaL,True,arithmetic,88254×26228=,2314725912.0,"
def solution():
    """"""Calculate the product of 88254 and 26228.""""""
    result = 88254 * 26228
    return result",gpt-35-turbo,azure,0,441,32,2314725912.0,Arithmetic,arithmetic_mixed,0.9254846572875977
PaL,True,arithmetic,37739*66015=,2491340085.0,"
def solution():
    """"""Calculate the product of 37739 and 66015.""""""
    result = 37739 * 66015
    return result",gpt-35-turbo,azure,0,441,32,2491340085.0,Arithmetic,arithmetic_mixed,0.6778650283813477
PaL,True,arithmetic,5^4=,625.0,"
def solution():
    """"""Calculate 5 raised to the power of 4.""""""
    result = 5 ** 4
    return result",gpt-35-turbo,azure,0,439,29,625.0,Arithmetic,arithmetic_mixed,0.7859222888946533
PaL,True,arithmetic,721-847=,-126.0,"
def solution():
    """"""Calculate the difference between 721 and 847.""""""
    result = 721 - 847
    return result",gpt-35-turbo,azure,0,439,28,-126.0,Arithmetic,arithmetic_mixed,0.9288985729217529
PaL,True,arithmetic,774426524175+721318944497=,1495745468672.0,"
def solution():
    """"""Calculate the sum of 774426524175 and 721318944497.""""""
    result = 774426524175 + 721318944497
    return result",gpt-35-turbo,azure,0,445,40,1495745468672.0,Arithmetic,arithmetic_mixed,1.191821575164795
PaL,True,arithmetic,7^4=,2401.0,"
def solution():
    """"""Calculate 7 raised to the power of 4.""""""
    result = 7 ** 4
    return result",gpt-35-turbo,azure,0,439,29,2401.0,Arithmetic,arithmetic_mixed,0.5428750514984131
PaL,True,arithmetic,"What is next in 1964, 3923, 5880, 7835?",9790.0,"def solution():
    """"""Find the next number in the sequence 1964, 3923, 5880, 7835.""""""
    sequence = [1964, 3923, 5880, 7835]
    next_number = sequence[-1] + (sequence[-1] - sequence[-2])
    return next_number",gpt-35-turbo,azure,0,454,70,9788.0,Arithmetic,sequence_next_term,1.2882955074310303
PaL,True,arithmetic,"What comes next: 17, 49, 129, 281, 529, 897, 1409?",1921.0,"def solution():
    """"""Find the next number in the sequence 17, 49, 129, 281, 529, 897, 1409.""""""
    sequence = [17, 49, 129, 281, 529, 897, 1409]
    next_number = sequence[-1] + (sequence[-1] - sequence[-2])
    return next_number",gpt-35-turbo,azure,0,460,82,2089.0,Arithmetic,sequence_next_term,1.7391815185546875
PaL,True,arithmetic,"What is the next term in -1691, -1690, -1689, -1688?",-1687.0,"
def solution():
    """"""Find the next term in the sequence -1691, -1690, -1689, -1688.""""""
    sequence = [-1691, -1690, -1689, -1688]
    next_term = sequence[-1] + 1
    return next_term",gpt-35-turbo,azure,0,456,64,-1687.0,Arithmetic,sequence_next_term,1.1632213592529297
