technique,few_shot_prompting,dataset,question,answer,reasoning,model,service,temperature,prompt_tokens,completion_tokens,correct_answer,category,subcategory,latency_in_seconds
Baseline,True,wordProblems,"Paco 's Countertop Company purchased pieces of marble from a quarry . The weights of the pieces they purchased were 0.3333333333333333 ton , 0.3333333333333333 ton , and 0.08333333333333333 ton . How many tons of marble did Paco 's Countertop Company purchase in all ? ",0.75,,gpt-35-turbo,azure,0,348,52,0.75,Word Problems,add_sub,1.5526256561279297
Baseline,True,wordProblems,"While playing a video game , Paul scored 3103 points . He and his cousin together have a total of 5816 points . How many points does Paul 's cousin have ? ",2713.0,,gpt-35-turbo,azure,0,309,2,2713.0,Word Problems,add_sub,0.1230936050415039
Baseline,True,wordProblems,A worker at a medical lab is studying blood samples . 2 samples contained a total of 7341 blood cells . The first sample contained 4221 blood cells . How many blood cells were in the second sample ? ,3120.0,,gpt-35-turbo,azure,0,316,2,3120.0,Word Problems,add_sub,0.15389013290405273
Baseline,True,wordProblems,Tim has 44 books . Sam has 52 books . How many books do they have together ? ,96.0,,gpt-35-turbo,azure,0,292,1,96.0,Word Problems,add_sub,0.11907768249511719
Baseline,True,wordProblems,"A ship full of grain crashes into a coral reef . By the time the ship is fixed , 49952 tons of grain have spilled into the water . Only 918 tons of grain remain onboard . How many tons of grain did the ship originally contain ? ",50870.0,,gpt-35-turbo,azure,0,323,11,50870.0,Word Problems,add_sub,0.3119368553161621
Baseline,True,wordProblems,"Joan 's high school played 864 baseball games this year , 128 of the games were played at night . She attended 395 games . How many baseball games did Joan miss ? ",471.0,,gpt-35-turbo,azure,0,309,8,469.0,Word Problems,add_sub,0.26682543754577637
Baseline,True,wordProblems,"Benny received 79 dollars and 9 movie tickets for his birthday . He went to a sporting goods store and bought a baseball glove , baseball , and bat . He had 32 dollars over , how much did he spent on the baseball gear ? ",47.0,,gpt-35-turbo,azure,0,321,1,47.0,Word Problems,add_sub,0.11823654174804688
Baseline,True,wordProblems,"Kevin bought 2 watermelons . The first watermelon was 9.91 pounds , and the second watermelon was 4.11 pounds . How many pounds of watermelon did Kevin buy ? ",14.02,,gpt-35-turbo,azure,0,313,4,14.02,Word Problems,add_sub,0.19371867179870605
Baseline,True,wordProblems,"Mary found 45 seashells , Melanie found 23 seashells , and Jason found 32 seashells on the beach . When they cleaned them , they discovered that 31 were cracked . How many seashells did they find together ? ",129.0,,gpt-35-turbo,azure,0,323,1,100.0,Word Problems,add_sub,0.1164858341217041
Baseline,True,wordProblems,There are 9 oak trees currently in the park . Park workers had to cut down 2 oak trees that were damaged . How many oak trees will the park have when the workers are finished ? ,7.0,,gpt-35-turbo,azure,0,311,1,7.0,Word Problems,add_sub,0.5406332015991211
Baseline,True,wordProblems,There are 9 pencils and 4 rulers in the drawer . Sally took 4 pencils out of the drawer . How many pencils are there now ? ,5.0,,gpt-35-turbo,azure,0,302,1,5.0,Word Problems,add_sub,0.12684035301208496
Baseline,True,wordProblems,"Alyssa went to 11 soccer games this year , but missed 12 . She went to 13 games last year and plans to go to 15 games next year . How many soccer games will Alyssa go to in all ? ",27.0,,gpt-35-turbo,azure,0,319,1,39.0,Word Problems,add_sub,0.08624768257141113
Baseline,True,wordProblems,"Michelle began her pizza delivery route with 0.5 tank of gas in her car . When she made it back to the pizzeria , 0.16666666666666666 tank of gas was . How much gas did Michelle use ? ",0.3333333333333333,,gpt-35-turbo,azure,0,322,11,0.333333333333333,Word Problems,add_sub,0.2092909812927246
Baseline,True,wordProblems,A restaurant served 9 hot dogs during lunch and 2 during dinner today . It served 5 of them yesterday . How many hot dogs were served today ? ,16.0,,gpt-35-turbo,azure,0,304,1,11.0,Word Problems,add_sub,0.09616923332214355
Baseline,True,wordProblems,A truck carrying 4.1 pounds of sand travels to a construction yard and loses 2.4 pounds of sand along the way . How much sand does the truck have when it arrives at the yard ? ,1.7,,gpt-35-turbo,azure,0,314,4,1.7000000000000002,Word Problems,add_sub,0.13974523544311523
Baseline,True,wordProblems,There are 43 maple trees and 22 orange trees currently in the park . Park workers will plant maple trees today . When the workers are finished there will be 54 maple trees in the park . How many maple trees did the workers plant today ? ,11.0,,gpt-35-turbo,azure,0,322,1,11.0,Word Problems,add_sub,0.11389398574829102
Baseline,True,wordProblems,Gordon bought 3.42 pounds of fruit for a class party . The class ate 2.2 pounds of the fruit . How much fruit is ? ,1.22,,gpt-35-turbo,azure,0,303,4,1.22,Word Problems,add_sub,0.19615507125854492
Baseline,True,wordProblems,Joan picked 37 oranges and Sara picked 10 oranges . Alyssa picked 30 pears . How many oranges were picked in total ? ,47.0,,gpt-35-turbo,azure,0,300,1,47.0,Word Problems,add_sub,0.1450037956237793
Baseline,True,wordProblems,Jason has 18 books and he has read 9 of them . Mary has 42 books . How many books do they have together ? ,60.0,,gpt-35-turbo,azure,0,300,1,60.0,Word Problems,add_sub,0.1573619842529297
Baseline,True,wordProblems,Sally had 13 peaches at her roadside fruit dish . She went to the orchard and picked peaches to stock up . There are now 55 peaches . how many did she pick ? ,42.0,,gpt-35-turbo,azure,0,312,1,42.0,Word Problems,add_sub,0.13389062881469727
Baseline,True,wordProblems,Sandy had 36 pennies and 31 nickels in her bank . Her dad borrowed 20 nickels from Sandy . How many nickels does she have now ? ,11.0,,gpt-35-turbo,azure,0,306,1,11.0,Word Problems,add_sub,0.13399577140808105
Baseline,True,wordProblems,Dan 's cat had kittens and 5 had spots . He gave 7 to Tim and 4 to Jason . He now has 5 kittens . How many kittens did he have to start with ? ,21.0,,gpt-35-turbo,azure,0,313,1,16.0,Word Problems,add_sub,0.10571026802062988
Baseline,True,wordProblems,There are 5 scissors and 3 pencils in the drawer . Jason placed 4 scissors in the drawer . How many scissors are now there in total ? ,9.0,,gpt-35-turbo,azure,0,303,1,9.0,Word Problems,add_sub,0.11711359024047852
Baseline,True,wordProblems,There are 7 dogwood trees currently in the park . Park workers will plant 5 dogwood trees today and 4 dogwood trees tomorrow . It took 8 workers to finish the work . How many dogwood trees will the park have when the workers are finished ? ,16.0,,gpt-35-turbo,azure,0,327,1,16.0,Word Problems,add_sub,0.1384599208831787
Baseline,True,wordProblems,"Jessica spent $ 10.22 on a cat toy , and a cage cost her $ 11.73 . What was the total cost of Jessica 's purchases ? ",21.95,,gpt-35-turbo,azure,0,306,13,21.95,Word Problems,add_sub,0.36885619163513184
Baseline,True,wordProblems,Jason has 676 Pokemon cards . Alyssa bought 224 of Jason 's Pokemon cards . How many Pokemon cards does Jason have now ? ,452.0,,gpt-35-turbo,azure,0,300,1,452.0,Word Problems,add_sub,0.1201179027557373
Baseline,True,wordProblems,"Alyssa has 37 blue balloons , Sandy has 28 blue balloons , and Sally has 39 blue balloons . How many blue balloons do they have in all ? ",104.0,,gpt-35-turbo,azure,0,305,64,104.0,Word Problems,add_sub,1.216439962387085
Baseline,True,wordProblems,Sandy 's dog had 8 puppies and 4 had spots . She gave 4 to her friends . How many puppies does she now have ? ,4.0,,gpt-35-turbo,azure,0,302,1,4.0,Word Problems,add_sub,0.11943650245666504
Baseline,True,wordProblems,Sally had 8 pennies and 7 nickels in her bank . Her dad gave her 9 nickels and her mother gave her 2 nickels . How many nickels does Sally have now ? ,25.0,,gpt-35-turbo,azure,0,314,1,18.0,Word Problems,add_sub,0.12437963485717773
Baseline,True,wordProblems,"Joan spent $ 15 on shorts and $ 14.82 on a jacket , and $ 12.51 on a shirt . She went to 3 shops . In total , how much money did Joan spend on clothing ? ",42.33,,gpt-35-turbo,azure,0,318,13,42.33,Word Problems,add_sub,0.3580050468444824
Baseline,True,wordProblems,Tom found 5 seashells on the beach . he gave Jessica 2 of the seashells . How many seashells does he now have ? ,3.0,,gpt-35-turbo,azure,0,304,1,3.0,Word Problems,add_sub,0.10708498954772949
Baseline,True,wordProblems,Keith picked 3 pears and Jason picked 2 pears from the pear tree . Joan picked 5 apples from the apple tree . How many pears were picked in total ? ,5.0,,gpt-35-turbo,azure,0,309,1,5.0,Word Problems,add_sub,0.12373495101928711
Baseline,True,wordProblems,"There were a total of 8 football games this year , 4 are played at night . Keith missed 4 of the games . How many football games did Keith go to in total ? ",4.0,,gpt-35-turbo,azure,0,310,1,4.0,Word Problems,add_sub,0.08647441864013672
