technique,dataset,question,answer,reasoning,model,service,temperature,prompt_tokens,completion_tokens,correct_answer,category,subcategory,latency_in_seconds
PaL,arithmetic,0.1*3.0=,0.30000000000000004,"
def solution():
    """"""Calculate the product of 0.1 and 3.0.""""""
    result = 0.1 * 3.0
    return result",gpt-35-turbo,azure,0,443,36,0.3,Arithmetic,arithmetic_mixed,0.7101647853851318
PaL,arithmetic,88254×26228=,2314725912.0,"
def solution():
    """"""Calculate the product of 88254 and 26228.""""""
    result = 88254 * 26228
    return result",gpt-35-turbo,azure,0,441,32,2314725912.0,Arithmetic,arithmetic_mixed,0.625267505645752
PaL,arithmetic,37739*66015=,2491340085.0,"
def solution():
    """"""Calculate the product of 37739 and 66015.""""""
    result = 37739 * 66015
    return result",gpt-35-turbo,azure,0,441,32,2491340085.0,Arithmetic,arithmetic_mixed,0.5813946723937988
PaL,arithmetic,5^4=,625.0,"
def solution():
    """"""Calculate 5 raised to the power of 4.""""""
    result = 5 ** 4
    return result",gpt-35-turbo,azure,0,439,29,625.0,Arithmetic,arithmetic_mixed,0.5858495235443115
PaL,arithmetic,721-847=,-126.0,"
def solution():
    """"""Calculate the difference between 721 and 847.""""""
    result = 721 - 847
    return result",gpt-35-turbo,azure,0,439,28,-126.0,Arithmetic,arithmetic_mixed,0.8101780414581299
PaL,arithmetic,774426524175+721318944497=,1495745468672.0,"
def solution():
    """"""Calculate the sum of 774426524175 and 721318944497.""""""
    result = 774426524175 + 721318944497
    return result",gpt-35-turbo,azure,0,445,40,1495745468672.0,Arithmetic,arithmetic_mixed,0.6741476058959961
PaL,arithmetic,7^4=,2401.0,"
def solution():
    """"""Calculate 7 raised to the power of 4.""""""
    result = 7 ** 4
    return result",gpt-35-turbo,azure,0,439,29,2401.0,Arithmetic,arithmetic_mixed,0.5645413398742676
PaL,arithmetic,"What is next in 1964, 3923, 5880, 7835?",9790.0,"def solution():
    """"""Find the next number in the sequence 1964, 3923, 5880, 7835.""""""
    sequence = [1964, 3923, 5880, 7835]
    next_number = sequence[-1] + (sequence[-1] - sequence[-2])
    return next_number",gpt-35-turbo,azure,0,454,70,9788.0,Arithmetic,sequence_next_term,1.240199089050293
PaL,arithmetic,"What comes next: 17, 49, 129, 281, 529, 897, 1409?",1921.0,"def solution():
    """"""Find the next number in the sequence 17, 49, 129, 281, 529, 897, 1409.""""""
    sequence = [17, 49, 129, 281, 529, 897, 1409]
    next_number = sequence[-1] + (sequence[-1] - sequence[-2])
    return next_number",gpt-35-turbo,azure,0,460,82,2089.0,Arithmetic,sequence_next_term,1.5340163707733154
PaL,arithmetic,"What is the next term in -1691, -1690, -1689, -1688?",-1687.0,"
def solution():
    """"""Find the next term in the sequence -1691, -1690, -1689, -1688.""""""
    sequence = [-1691, -1690, -1689, -1688]
    next_term = sequence[-1] + 1
    return next_term",gpt-35-turbo,azure,0,456,64,-1687.0,Arithmetic,sequence_next_term,0.9143033027648926
PaL,arithmetic,"What is the next term in -1341, -2675, -3997, -5301, -6581, -7831?",-9081.0,"def solution():
    """"""Find the next term in the sequence -1341, -2675, -3997, -5301, -6581, -7831.""""""
    sequence = [-1341, -2675, -3997, -5301, -6581, -7831]
    next_term = sequence[-1] - (sequence[-2] - sequence[-1])
    return next_term",gpt-35-turbo,azure,0,464,86,-9045.0,Arithmetic,sequence_next_term,2.24377179145813
PaL,arithmetic,"What is the next term in 12, 24, 38, 54, 72, 92, 114?",136.0,"def solution():
    """"""Find the next term in the sequence 12, 24, 38, 54, 72, 92, 114.""""""
    sequence = [12, 24, 38, 54, 72, 92, 114]
    next_term = sequence[-1] + (sequence[-1] - sequence[-2])
    return next_term",gpt-35-turbo,azure,0,461,80,138.0,Arithmetic,sequence_next_term,1.7073748111724854
PaL,arithmetic,"What is the next term in 1070, 4273, 9610, 17081?",24552.0,"def solution():
    """"""Find the next term in the sequence 1070, 4273, 9610, 17081.""""""
    sequence = [1070, 4273, 9610, 17081]
    next_term = sequence[-1] + (sequence[-1] - sequence[-2])
    return next_term",gpt-35-turbo,azure,0,456,70,26686.0,Arithmetic,sequence_next_term,1.7073144912719727
PaL,arithmetic,"What comes next: -75, -80, -85, -90?",-95.0,"
def solution():
    """"""Find the next term in the sequence -75, -80, -85, -90.""""""
    sequence = [-75, -80, -85, -90]
    next_term = sequence[-1] - 5
    return next_term",gpt-35-turbo,azure,0,450,56,-95.0,Arithmetic,sequence_next_term,1.125915288925171
PaL,arithmetic,Calculate -13 - 40.103.,-53.103,"
def solution():
    """"""Calculate the subtraction of -13 and 40.103.""""""
    result = -13 - 40.103
    return result",gpt-35-turbo,azure,0,443,32,-53.103,Arithmetic,add_or_sub,0.9350335597991943
PaL,arithmetic,Add together -18.766737 and -0.5.,-19.266737,"
def solution():
    """"""Add -18.766737 and -0.5.""""""
    result = -18.766737 + -0.5
    return result",gpt-35-turbo,azure,0,447,35,-19.266737,Arithmetic,add_or_sub,0.6877057552337646
PaL,arithmetic,What is -0.3 minus 1991087?,-1991087.3,"
def solution():
    """"""Calculate -0.3 minus 1991087.""""""
    result = -0.3 - 1991087
    return result",gpt-35-turbo,azure,0,446,33,-1991087.3,Arithmetic,add_or_sub,0.7904903888702393
PaL,arithmetic,Subtract -1 from -467.,-466.0,"
def solution():
    """"""Subtract -1 from -467.""""""
    result = -467 - (-1)
    return result",gpt-35-turbo,azure,0,441,26,-466.0,Arithmetic,add_or_sub,0.7032949924468994
PaL,arithmetic,What is the distance between 0.7 and -1843?,1843.7,"
def solution():
    """"""Calculate the distance between 0.7 and -1843.""""""
    distance = abs(0.7 - (-1843))
    return distance",gpt-35-turbo,azure,0,448,35,1843.7,Arithmetic,add_or_sub,0.9282917976379395
PaL,arithmetic,What is -84217 minus -5?,-84212.0,"
def solution():
    """"""Calculate -84217 minus -5.""""""
    result = -84217 - (-5)
    return result",gpt-35-turbo,azure,0,443,27,-84212.0,Arithmetic,add_or_sub,0.7514777183532715
PaL,arithmetic,What is 221 take away 0.2?,220.8,"
def solution():
    """"""Calculate the subtraction of 0.2 from 221.""""""
    result = 221 - 0.2
    return result",gpt-35-turbo,azure,0,445,32,220.8,Arithmetic,add_or_sub,0.747920036315918
PaL,arithmetic,0 - (10 - (4 + 5)),-1.0,"
def solution():
    """"""Calculate the expression 0 - (10 - (4 + 5)).""""""
    result = 0 - (10 - (4 + 5))
    return result",gpt-35-turbo,azure,0,446,40,-1.0,Arithmetic,add_sub_multiple,1.207808256149292
PaL,arithmetic,0 - 2 - (4 - (-5 + 11)),0.0,"
def solution():
    """"""Calculate the expression 0 - 2 - (4 - (-5 + 11)).""""""
    result = 0 - 2 - (4 - (-5 + 11))
    return result",gpt-35-turbo,azure,0,449,46,0.0,Arithmetic,add_sub_multiple,1.0543339252471924
PaL,arithmetic,Evaluate -7 + (-7 - -2) - -5 - -9.,2.0,"
def solution():
    """"""Evaluate the expression -7 + (-7 - -2) - -5 - -9.""""""
    result = -7 + (-7 - -2) - -5 - -9
    return result",gpt-35-turbo,azure,0,451,47,2.0,Arithmetic,add_sub_multiple,0.7985210418701172
