technique,dataset,question,answer,reasoning,model,service,temperature,prompt_tokens,completion_tokens,correct_answer,category,subcategory,latency_in_seconds
PaL,wordProblems,"Paco 's Countertop Company purchased pieces of marble from a quarry . The weights of the pieces they purchased were 0.3333333333333333 ton , 0.3333333333333333 ton , and 0.08333333333333333 ton . How many tons of marble did Paco 's Countertop Company purchase in all ? ",0.75,"
def solution():
    """"""Paco's Countertop Company purchased pieces of marble from a quarry. The weights of the pieces they purchased were 0.3333333333333333 ton, 0.3333333333333333 ton, and 0.08333333333333333 ton. How many tons of marble did Paco's Countertop Company purchase in all?""""""
    marble_weights = [0.3333333333333333, 0.3333333333333333, 0.08333333333333333]
    total_marble_weight = sum(marble_weights)
    result = total_marble_weight
    return result",gpt-35-turbo,azure,0,895,138,0.75,Word Problems,add_sub,3.6156489849090576
PaL,wordProblems,"While playing a video game , Paul scored 3103 points . He and his cousin together have a total of 5816 points . How many points does Paul 's cousin have ? ",2713.0,"
def solution():
    """"""While playing a video game, Paul scored 3103 points. He and his cousin together have a total of 5816 points. How many points does Paul's cousin have?""""""
    paul_points = 3103
    total_points = 5816
    cousin_points = total_points - paul_points
    result = cousin_points
    return result",gpt-35-turbo,azure,0,856,78,2713.0,Word Problems,add_sub,1.8867552280426025
PaL,wordProblems,A worker at a medical lab is studying blood samples . 2 samples contained a total of 7341 blood cells . The first sample contained 4221 blood cells . How many blood cells were in the second sample ? ,3120.0,"def solution():
    """"""A worker at a medical lab is studying blood samples. 2 samples contained a total of 7341 blood cells. The first sample contained 4221 blood cells. How many blood cells were in the second sample?""""""
    total_cells = 7341
    first_sample_cells = 4221
    second_sample_cells = total_cells - first_sample_cells
    result = second_sample_cells
    return result",gpt-35-turbo,azure,0,863,89,3120.0,Word Problems,add_sub,1.2499759197235107
PaL,wordProblems,Tim has 44 books . Sam has 52 books . How many books do they have together ? ,96.0,"
def solution():
    """"""Tim has 44 books. Sam has 52 books. How many books do they have together?""""""
    tim_books = 44
    sam_books = 52
    total_books = tim_books + sam_books
    result = total_books
    return result",gpt-35-turbo,azure,0,839,60,96.0,Word Problems,add_sub,1.334456205368042
PaL,wordProblems,"A ship full of grain crashes into a coral reef . By the time the ship is fixed , 49952 tons of grain have spilled into the water . Only 918 tons of grain remain onboard . How many tons of grain did the ship originally contain ? ",50870.0,"def solution():
    """"""A ship full of grain crashes into a coral reef. By the time the ship is fixed, 49952 tons of grain have spilled into the water. Only 918 tons of grain remain onboard. How many tons of grain did the ship originally contain?""""""
    spilled_grain = 49952
    remaining_grain = 918
    original_grain = spilled_grain + remaining_grain
    result = original_grain
    return result",gpt-35-turbo,azure,0,870,97,50870.0,Word Problems,add_sub,2.3381547927856445
PaL,wordProblems,"Joan 's high school played 864 baseball games this year , 128 of the games were played at night . She attended 395 games . How many baseball games did Joan miss ? ",341.0,"
def solution():
    """"""Joan's high school played 864 baseball games this year, 128 of the games were played at night. She attended 395 games. How many baseball games did Joan miss?""""""
    total_games = 864
    night_games = 128
    attended_games = 395
    missed_games = total_games - attended_games - night_games
    result = missed_games
    return result",gpt-35-turbo,azure,0,856,87,469.0,Word Problems,add_sub,2.023387908935547
PaL,wordProblems,"Benny received 79 dollars and 9 movie tickets for his birthday . He went to a sporting goods store and bought a baseball glove , baseball , and bat . He had 32 dollars over , how much did he spent on the baseball gear ? ",47.0,"
def solution():
    """"""Benny received 79 dollars and 9 movie tickets for his birthday. He went to a sporting goods store and bought a baseball glove, baseball, and bat. He had 32 dollars left over, how much did he spend on the baseball gear?""""""
    money_received = 79
    movie_tickets_received = 9
    money_left_over = 32
    total_spent = money_received - money_left_over
    result = total_spent
    return result",gpt-35-turbo,azure,0,868,103,47.0,Word Problems,add_sub,1.9482166767120361
PaL,wordProblems,"Kevin bought 2 watermelons . The first watermelon was 9.91 pounds , and the second watermelon was 4.11 pounds . How many pounds of watermelon did Kevin buy ? ",14.02,"
def solution():
    """"""Kevin bought 2 watermelons. The first watermelon was 9.91 pounds, and the second watermelon was 4.11 pounds. How many pounds of watermelon did Kevin buy?""""""
    watermelon1_weight = 9.91
    watermelon2_weight = 4.11
    total_weight = watermelon1_weight + watermelon2_weight
    result = total_weight
    return result",gpt-35-turbo,azure,0,860,93,14.02,Word Problems,add_sub,1.7839221954345703
PaL,wordProblems,"Mary found 45 seashells , Melanie found 23 seashells , and Jason found 32 seashells on the beach . When they cleaned them , they discovered that 31 were cracked . How many seashells did they find together ? ",69.0,"
def solution():
    """"""Mary found 45 seashells, Melanie found 23 seashells, and Jason found 32 seashells on the beach. When they cleaned them, they discovered that 31 were cracked. How many seashells did they find together?""""""
    mary_seashells = 45
    melanie_seashells = 23
    jason_seashells = 32
    cracked_seashells = 31
    total_seashells = mary_seashells + melanie_seashells + jason_seashells - cracked_seashells
    result = total_seashells
    return result",gpt-35-turbo,azure,0,870,135,100.0,Word Problems,add_sub,3.038834810256958
PaL,wordProblems,There are 9 oak trees currently in the park . Park workers had to cut down 2 oak trees that were damaged . How many oak trees will the park have when the workers are finished ? ,7.0,"
def solution():
    """"""There are 9 oak trees currently in the park. Park workers had to cut down 2 oak trees that were damaged. How many oak trees will the park have when the workers are finished?""""""
    oak_trees_initial = 9
    oak_trees_cut = 2
    oak_trees_remaining = oak_trees_initial - oak_trees_cut
    result = oak_trees_remaining
    return result",gpt-35-turbo,azure,0,858,85,7.0,Word Problems,add_sub,1.8629124164581299
PaL,wordProblems,There are 9 pencils and 4 rulers in the drawer . Sally took 4 pencils out of the drawer . How many pencils are there now ? ,5.0,"
def solution():
    """"""There are 9 pencils and 4 rulers in the drawer. Sally took 4 pencils out of the drawer. How many pencils are there now?""""""
    pencils_initial = 9
    pencils_taken = 4
    pencils_left = pencils_initial - pencils_taken
    result = pencils_left
    return result",gpt-35-turbo,azure,0,849,70,5.0,Word Problems,add_sub,1.038010835647583
PaL,wordProblems,"Alyssa went to 11 soccer games this year , but missed 12 . She went to 13 games last year and plans to go to 15 games next year . How many soccer games will Alyssa go to in all ? ",27.0,"
def solution():
    """"""Alyssa went to 11 soccer games this year, but missed 12. She went to 13 games last year and plans to go to 15 games next year. How many soccer games will Alyssa go to in all?""""""
    games_this_year = 11
    games_missed = 12
    games_last_year = 13
    games_next_year = 15
    total_games = games_this_year + games_last_year + games_next_year - games_missed
    result = total_games
    return result",gpt-35-turbo,azure,0,866,116,39.0,Word Problems,add_sub,1.7037599086761475
