technique,few_shot_prompting,dataset,question,answer,reasoning,model,service,temperature,prompt_tokens,completion_tokens,correct_answer,category,subcategory,latency_in_seconds
DeclarativeSymPy,False,wordProblems,"Paco 's Countertop Company purchased pieces of marble from a quarry . The weights of the pieces they purchased were 0.3333333333333333 ton , 0.3333333333333333 ton , and 0.08333333333333333 ton . How many tons of marble did Paco 's Countertop Company purchase in all ? ",0.08333333333333333,,gpt-35-turbo,azure,0,231,274,0.75,Word Problems,add_sub,4.392440557479858
DeclarativeSymPy,False,wordProblems,"While playing a video game , Paul scored 3103 points . He and his cousin together have a total of 5816 points . How many points does Paul 's cousin have ? ",2713.0,,gpt-35-turbo,azure,0,192,179,2713.0,Word Problems,add_sub,2.653534173965454
DeclarativeSymPy,False,wordProblems,A worker at a medical lab is studying blood samples . 2 samples contained a total of 7341 blood cells . The first sample contained 4221 blood cells . How many blood cells were in the second sample ? ,7341.0,,gpt-35-turbo,azure,0,199,95,3120.0,Word Problems,add_sub,1.4981422424316406
DeclarativeSymPy,False,wordProblems,Tim has 44 books . Sam has 52 books . How many books do they have together ? ,96.0,,gpt-35-turbo,azure,0,175,186,96.0,Word Problems,add_sub,4.290040731430054
DeclarativeSymPy,False,wordProblems,"A ship full of grain crashes into a coral reef . By the time the ship is fixed , 49952 tons of grain have spilled into the water . Only 918 tons of grain remain onboard . How many tons of grain did the ship originally contain ? ",918.0,,gpt-35-turbo,azure,0,206,88,50870.0,Word Problems,add_sub,1.6476547718048096
DeclarativeSymPy,False,wordProblems,"Joan 's high school played 864 baseball games this year , 128 of the games were played at night . She attended 395 games . How many baseball games did Joan miss ? ",395.0,,gpt-35-turbo,azure,0,192,237,469.0,Word Problems,add_sub,4.599055767059326
DeclarativeSymPy,False,wordProblems,"Benny received 79 dollars and 9 movie tickets for his birthday . He went to a sporting goods store and bought a baseball glove , baseball , and bat . He had 32 dollars over , how much did he spent on the baseball gear ? ",32.0,,gpt-35-turbo,azure,0,204,109,47.0,Word Problems,add_sub,1.529219388961792
DeclarativeSymPy,False,wordProblems,"Kevin bought 2 watermelons . The first watermelon was 9.91 pounds , and the second watermelon was 4.11 pounds . How many pounds of watermelon did Kevin buy ? ",4.11,,gpt-35-turbo,azure,0,196,213,14.02,Word Problems,add_sub,3.865705966949463
DeclarativeSymPy,False,wordProblems,"Mary found 45 seashells , Melanie found 23 seashells , and Jason found 32 seashells on the beach . When they cleaned them , they discovered that 31 were cracked . How many seashells did they find together ? ",31.0,,gpt-35-turbo,azure,0,206,161,100.0,Word Problems,add_sub,1.9905943870544434
DeclarativeSymPy,False,wordProblems,There are 9 oak trees currently in the park . Park workers had to cut down 2 oak trees that were damaged . How many oak trees will the park have when the workers are finished ? ,2.0,,gpt-35-turbo,azure,0,194,163,7.0,Word Problems,add_sub,2.5266363620758057
DeclarativeSymPy,False,wordProblems,There are 9 pencils and 4 rulers in the drawer . Sally took 4 pencils out of the drawer . How many pencils are there now ? ,4.0,,gpt-35-turbo,azure,0,185,164,5.0,Word Problems,add_sub,1.7368950843811035
DeclarativeSymPy,False,wordProblems,"Alyssa went to 11 soccer games this year , but missed 12 . She went to 13 games last year and plans to go to 15 games next year . How many soccer games will Alyssa go to in all ? ",5.0,,gpt-35-turbo,azure,0,202,246,39.0,Word Problems,add_sub,4.669305324554443
DeclarativeSymPy,False,wordProblems,"Michelle began her pizza delivery route with 0.5 tank of gas in her car . When she made it back to the pizzeria , 0.16666666666666666 tank of gas was . How much gas did Michelle use ? ",0.16666666666666666,,gpt-35-turbo,azure,0,205,61,0.333333333333333,Word Problems,add_sub,0.9648821353912354
DeclarativeSymPy,False,wordProblems,A restaurant served 9 hot dogs during lunch and 2 during dinner today . It served 5 of them yesterday . How many hot dogs were served today ? ,5.0,,gpt-35-turbo,azure,0,187,212,11.0,Word Problems,add_sub,3.1157495975494385
DeclarativeSymPy,False,wordProblems,A truck carrying 4.1 pounds of sand travels to a construction yard and loses 2.4 pounds of sand along the way . How much sand does the truck have when it arrives at the yard ? ,2.4,,gpt-35-turbo,azure,0,197,192,1.7000000000000002,Word Problems,add_sub,2.3937134742736816
DeclarativeSymPy,False,wordProblems,There are 43 maple trees and 22 orange trees currently in the park . Park workers will plant maple trees today . When the workers are finished there will be 54 maple trees in the park . How many maple trees did the workers plant today ? ,11.0,,gpt-35-turbo,azure,0,205,280,11.0,Word Problems,add_sub,4.044545650482178
DeclarativeSymPy,False,wordProblems,Gordon bought 3.42 pounds of fruit for a class party . The class ate 2.2 pounds of the fruit . How much fruit is ? ,1.22,,gpt-35-turbo,azure,0,186,262,1.22,Word Problems,add_sub,3.6369168758392334
DeclarativeSymPy,False,wordProblems,Joan picked 37 oranges and Sara picked 10 oranges . Alyssa picked 30 pears . How many oranges were picked in total ? ,30.0,,gpt-35-turbo,azure,0,183,176,47.0,Word Problems,add_sub,3.210977554321289
DeclarativeSymPy,False,wordProblems,Jason has 18 books and he has read 9 of them . Mary has 42 books . How many books do they have together ? ,60.0,,gpt-35-turbo,azure,0,183,191,60.0,Word Problems,add_sub,3.166980266571045
DeclarativeSymPy,False,wordProblems,Sally had 13 peaches at her roadside fruit dish . She went to the orchard and picked peaches to stock up . There are now 55 peaches . how many did she pick ? ,55.0,,gpt-35-turbo,azure,0,195,153,42.0,Word Problems,add_sub,2.809664011001587
DeclarativeSymPy,False,wordProblems,Sandy had 36 pennies and 31 nickels in her bank . Her dad borrowed 20 nickels from Sandy . How many nickels does she have now ? ,20.0,,gpt-35-turbo,azure,0,189,226,11.0,Word Problems,add_sub,3.8729562759399414
DeclarativeSymPy,False,wordProblems,Dan 's cat had kittens and 5 had spots . He gave 7 to Tim and 4 to Jason . He now has 5 kittens . How many kittens did he have to start with ? ,16.0,,gpt-35-turbo,azure,0,196,223,16.0,Word Problems,add_sub,2.833066940307617
DeclarativeSymPy,False,wordProblems,There are 5 scissors and 3 pencils in the drawer . Jason placed 4 scissors in the drawer . How many scissors are now there in total ? ,3.0,,gpt-35-turbo,azure,0,186,182,9.0,Word Problems,add_sub,2.5355100631713867
DeclarativeSymPy,False,wordProblems,There are 7 dogwood trees currently in the park . Park workers will plant 5 dogwood trees today and 4 dogwood trees tomorrow . It took 8 workers to finish the work . How many dogwood trees will the park have when the workers are finished ? ,8.0,,gpt-35-turbo,azure,0,210,189,16.0,Word Problems,add_sub,3.2820940017700195
DeclarativeSymPy,False,wordProblems,"Jessica spent $ 10.22 on a cat toy , and a cage cost her $ 11.73 . What was the total cost of Jessica 's purchases ? ",11.73,,gpt-35-turbo,azure,0,189,202,21.95,Word Problems,add_sub,3.5335371494293213
DeclarativeSymPy,False,wordProblems,Jason has 676 Pokemon cards . Alyssa bought 224 of Jason 's Pokemon cards . How many Pokemon cards does Jason have now ? ,452.0,,gpt-35-turbo,azure,0,183,164,452.0,Word Problems,add_sub,2.054802417755127
DeclarativeSymPy,False,wordProblems,"Alyssa has 37 blue balloons , Sandy has 28 blue balloons , and Sally has 39 blue balloons . How many blue balloons do they have in all ? ",104.0,,gpt-35-turbo,azure,0,188,227,104.0,Word Problems,add_sub,3.0400593280792236
DeclarativeSymPy,False,wordProblems,Sandy 's dog had 8 puppies and 4 had spots . She gave 4 to her friends . How many puppies does she now have ? ,4.0,,gpt-35-turbo,azure,0,185,225,4.0,Word Problems,add_sub,4.568133354187012
DeclarativeSymPy,False,wordProblems,Sally had 8 pennies and 7 nickels in her bank . Her dad gave her 9 nickels and her mother gave her 2 nickels . How many nickels does Sally have now ? ,18.0,,gpt-35-turbo,azure,0,197,257,18.0,Word Problems,add_sub,3.9270572662353516
DeclarativeSymPy,False,wordProblems,"Joan spent $ 15 on shorts and $ 14.82 on a jacket , and $ 12.51 on a shirt . She went to 3 shops . In total , how much money did Joan spend on clothing ? ",42.33,,gpt-35-turbo,azure,0,201,251,42.33,Word Problems,add_sub,4.1407999992370605
DeclarativeSymPy,False,wordProblems,Tom found 5 seashells on the beach . he gave Jessica 2 of the seashells . How many seashells does he now have ? ,3.0,,gpt-35-turbo,azure,0,187,182,3.0,Word Problems,add_sub,4.127572059631348
DeclarativeSymPy,False,wordProblems,Keith picked 3 pears and Jason picked 2 pears from the pear tree . Joan picked 5 apples from the apple tree . How many pears were picked in total ? ,5.0,,gpt-35-turbo,azure,0,192,206,5.0,Word Problems,add_sub,2.7609500885009766
DeclarativeSymPy,False,wordProblems,"There were a total of 8 football games this year , 4 are played at night . Keith missed 4 of the games . How many football games did Keith go to in total ? ",0.0,,gpt-35-turbo,azure,0,193,174,4.0,Word Problems,add_sub,2.382322311401367
DeclarativeSymPy,False,wordProblems," Paul had saved up 4 dollars. If he received another 11 dollars for his allowance, how many 5 dollar toys could he buy? ",4.0,,gpt-35-turbo,azure,0,185,218,3.0,Word Problems,multi_step,2.0558431148529053
DeclarativeSymPy,False,wordProblems," While shopping for music online, Isabel bought 6 country albums and 2 pop albums. Each album came with a lyric sheet and had 9 songs. How many songs did Isabel buy total? ",72.0,,gpt-35-turbo,azure,0,195,336,72.0,Word Problems,multi_step,5.505370140075684
DeclarativeSymPy,False,wordProblems, Edward was working as a sacker at a grocery store where he made 6 dollars an hour. On Monday he worked 3 hours and on Tuesday he worked 5 hours. How much money did Edward make in those two days? ,5.0,,gpt-35-turbo,azure,0,203,151,48.0,Word Problems,multi_step,1.9402689933776855
DeclarativeSymPy,False,wordProblems," Kaleb had 34 books. If he sold 17 of them and used the money he earned to buy 7 new books, how many books would Kaleb have? ",17.0,,gpt-35-turbo,azure,0,191,150,24.0,Word Problems,multi_step,2.1870453357696533
DeclarativeSymPy,False,wordProblems," Oliver made 35 dollars mowing lawns over the summer. If he spent 7 dollars buying new mower blades, how many 4 dollar games could he buy with the money he had left? ",7.0,,gpt-35-turbo,azure,0,196,354,7.0,Word Problems,multi_step,4.477121114730835
DeclarativeSymPy,False,wordProblems," Mike is at the library helping put away books. There are 82 book to put away total but a librarian takes 10 of them and leaves Mike with the rest. If he can fit 9 books on a shelf, how many shelves will he need? ",2.0,,gpt-35-turbo,azure,0,208,184,8.0,Word Problems,multi_step,4.35936975479126
DeclarativeSymPy,False,wordProblems," There are 58 students trying out for the school's trivia teams. If 10 of them didn't get picked for the team and the rest were put into 8 groups, how many students would be in each group? ",6.0,,gpt-35-turbo,azure,0,201,244,6.0,Word Problems,multi_step,3.148064613342285
DeclarativeSymPy,False,wordProblems," Ned was trying to expand his game collection. He bought 11 games from a friend and bought 22 more at a garage sale. If 19 of the games didn't work, how many good games did he end up with? ",13.0,,gpt-35-turbo,azure,0,203,222,14.0,Word Problems,multi_step,3.177381992340088
DeclarativeSymPy,False,wordProblems," Katie had 11 songs on her mp3 player. If she deleted 7 old songs from it and then added 24 new songs, how many songs does she have on her mp3 player? ",3.0,,gpt-35-turbo,azure,0,196,239,28.0,Word Problems,multi_step,5.125308513641357
DeclarativeSymPy,False,wordProblems," A waiter had 6 tables he was waiting on, with 3 women and 5 men at each table. How many customers total did the waiter have? ",48.0,,gpt-35-turbo,azure,0,188,270,48.0,Word Problems,multi_step,2.7726006507873535
DeclarativeSymPy,False,wordProblems," The school cafeteria had 14 apples. If they used 13 to make lunch for the students and then bought 49 more, how many apples would they have? ",50.0,,gpt-35-turbo,azure,0,189,210,50.0,Word Problems,multi_step,2.6408517360687256
DeclarativeSymPy,False,wordProblems, Chloe was unboxing some of her old winter clothes. She found 4 boxes of clothing and inside each box there were 2 scarves and 6 mittens. How many pieces of winter clothing did Chloe have total? ,6.0,,gpt-35-turbo,azure,0,201,241,32.0,Word Problems,multi_step,2.2089860439300537
DeclarativeSymPy,False,wordProblems, Debby bought two coloring books. One had 16 pictures and the other had 40. After one week she had already colored 33 of the pictures. How many pictures does she still have to color? ,23.0,,gpt-35-turbo,azure,0,198,240,23.0,Word Problems,multi_step,4.081627368927002
DeclarativeSymPy,False,wordProblems, Oliver had 35 dollars. For his birthday he got 50 more dollars but spent 84 on a new game. How much money does he have now? ,84.0,,gpt-35-turbo,azure,0,188,120,1.0,Word Problems,multi_step,1.7325010299682617
DeclarativeSymPy,False,wordProblems," Frank made 19 dollars mowing lawns over the summer. If he spent 11 dollars buying new mower blades, how many 2 dollar games could he buy with the money he had left? ",4.0,,gpt-35-turbo,azure,0,196,273,4.0,Word Problems,multi_step,4.600816488265991
DeclarativeSymPy,False,wordProblems," Bianca and her mom were picking carrots from their garden. Bianca picked 26 and her mother picked 15. If only 16 of the carrots were good, how many bad carrots did they have? ",25.0,,gpt-35-turbo,azure,0,198,303,25.0,Word Problems,multi_step,5.429103851318359
DeclarativeSymPy,False,wordProblems," The school cafeteria had 23 apples. If they used 20 to make lunch for the students and then bought 6 more, how many apples would they have? ",6.0,,gpt-35-turbo,azure,0,189,260,9.0,Word Problems,multi_step,4.9145519733428955
DeclarativeSymPy,False,wordProblems," The school cafeteria had 17 apples. If they used 2 to make lunch for the students and then bought 23 more, how many apples would they have? ",38.0,,gpt-35-turbo,azure,0,189,264,38.0,Word Problems,multi_step,4.685813903808594
DeclarativeSymPy,False,wordProblems," A new building needed 10 windows. The builder had already installed 6 of them. If it takes 5 hours to install each window, how long will it take him to install the rest? ",20.0,,gpt-35-turbo,azure,0,196,217,20.0,Word Problems,multi_step,2.961352586746216
DeclarativeSymPy,False,wordProblems," While on vacation, Nancy took 49 pictures at the zoo and 8 at the museum. If she later deleted 38 of the pictures, how many pictures from her vacation did she still have? ",19.0,,gpt-35-turbo,azure,0,196,235,19.0,Word Problems,multi_step,4.213412284851074
DeclarativeSymPy,False,wordProblems," There were 13 friends playing a video game online when 8 players quit. If each player left had 6 lives, how many lives did they have total? ",30.0,,gpt-35-turbo,azure,0,189,376,30.0,Word Problems,multi_step,5.770049810409546
DeclarativeSymPy,False,wordProblems," At the arcade Edward won 9 tickets. If he spent 4 tickets on a beanie and later won 4 more tickets, how many would he have? ",9.0,,gpt-35-turbo,azure,0,189,178,9.0,Word Problems,multi_step,3.102398633956909
DeclarativeSymPy,False,wordProblems," Luke had 48 dollars in January. By March he had spent 11 dollars. If he got another 21 dollars from his mom, how much money would he have? ",58.0,,gpt-35-turbo,azure,0,191,241,58.0,Word Problems,multi_step,5.168390274047852
DeclarativeSymPy,False,wordProblems," Roger had 25 books. If he sold 21 of them and used the money he earned to buy 30 new books, how many books would Roger have? ",34.0,,gpt-35-turbo,azure,0,189,354,34.0,Word Problems,multi_step,5.606986999511719
DeclarativeSymPy,False,wordProblems," At the schools book fair Sam bought 13 adventure books and 17 mystery books. If 15 of the books were used, how many new books did he buy? ",15.0,,gpt-35-turbo,azure,0,190,192,15.0,Word Problems,multi_step,2.974151372909546
DeclarativeSymPy,False,wordProblems," Bianca earned 5 points for each bag of cans she recycled. If she had 17 bags, but didn't recycle 8 of them, how many points would she have earned? ",45.0,,gpt-35-turbo,azure,0,194,275,45.0,Word Problems,multi_step,5.856774568557739
DeclarativeSymPy,False,wordProblems," At the town carnival Oliver rode the ferris wheel 5 times and the bumper cars 4 times. If each ride cost 7 tickets, how many tickets did he use? ",7.0,,gpt-35-turbo,azure,0,192,219,63.0,Word Problems,multi_step,2.7802298069000244
DeclarativeSymPy,False,wordProblems," Dave was helping the cafeteria workers pick up lunch trays, but he could only carry 9 trays at a time. If he had to pick up 17 trays from one table and 55 trays from another, how many trips will he make? ",8.0,,gpt-35-turbo,azure,0,205,295,8.0,Word Problems,multi_step,5.1327924728393555
DeclarativeSymPy,False,wordProblems," A waiter at 'The Greasy Spoon' restaurant had 26 customers to wait on. During the lunch rush he added another 27 customers. If 27 of the customers didn't leave him a tip, how many customers did leave a tip? ",27.0,,gpt-35-turbo,azure,0,206,279,26.0,Word Problems,multi_step,4.9279515743255615
DeclarativeSymPy,False,wordProblems," A trivia team had 15 members total, but during a game 6 members didn't show up. If each member that did show up scored 3 points, how many points were scored total? ",3.0,,gpt-35-turbo,azure,0,196,186,27.0,Word Problems,multi_step,3.179776430130005
