technique,few_shot_prompting,dataset,question,answer,reasoning,model,service,temperature,prompt_tokens,completion_tokens,correct_answer,category,subcategory,latency_in_seconds
Baseline,True,geometry,"a metallic sheet is of rectangular shape with dimensions 48 m x 36 m . from each of its corners , a square is cut off so as to make an open box . if the length of the square is 3 m , the volume of the box ( in m 3 ) is :",5184.0,,gpt-35-turbo,azure,0,303,200,3780.0,Geometry,geometry,4.1554014682769775
Baseline,True,geometry,"a circle graph shows how the budget of a certain company was spent : 55 percent for salaries , 9 percent for research and development , 5 percent for utilities , 4 percent for equipment , 2 percent for supplies , and the remainder for transportation . if the area of each sector of the graph is proportional to the percent of the budget it represents , how many degrees of the circle are used to represent transportation ?",90.0,,gpt-35-turbo,azure,0,327,139,90.0,Geometry,geometry,3.2459449768066406
Baseline,True,geometry,"if a rectangular billboard has an area of 91 square feet and a perimeter of 40 feet , what is the length of each of the shorter sides ?",7.0,,gpt-35-turbo,azure,0,274,17,7.0,Geometry,geometry,0.5772771835327148
Baseline,True,geometry,a volume of 11248 l water is in a container of sphere . how many hemisphere of volume 4 l each will be required to transfer all the water into the small hemispheres ?,4.0,,gpt-35-turbo,azure,0,282,142,2812.0,Geometry,geometry,4.3287436962127686
Baseline,True,geometry,"a hall is 15 m long and 12 m broad . if the sum of the areas of the floor and the ceiling is equal to the sum of the areas of 4 walls , the volume of the hall is :","The volume of the hall can be calculated by multiplying the length, width, and height of the hall. Since the height is not given, we cannot determine the volume with the given information.",,gpt-35-turbo,azure,0,288,38,1200.0,Geometry,geometry,1.3095283508300781
Baseline,True,geometry,the parameter of a square is equal to the perimeter of a rectangle of length 20 cm and breadth 14 cm . find the circumference of a semicircle whose diameter is equal to the side of the square . ( round off your answer to two decimal places ),4.0,,gpt-35-turbo,azure,0,296,200,26.703537555513243,Geometry,geometry,5.109891653060913
Baseline,True,geometry,a lamp is put on one corner of a square plot of side 50 m . it ' s light reaches 21 m . find the area of that plot that is lit by that lamp ?,-1114.558,,gpt-35-turbo,azure,0,282,200,346.3605900582747,Geometry,geometry,5.7151830196380615
Baseline,True,geometry,a certain rectangular crate measures 12 feet by 16 feet by 18 feet . a cylindrical gas tank is to be made for shipment in the crate and will stand upright when the crate is placed on one of its six faces . what should the radius of the tank be if it is to be of the largest possible volume ?,6.0,,gpt-35-turbo,azure,0,308,160,8.0,Geometry,geometry,4.057015657424927
Baseline,True,geometry,"three table runners have a combined area of 224 square inches . by overlapping the runners to cover 80 % of a table of area 175 square inches , the area that is covered by exactly two layers of runner is 24 square inches . what is the area of the table that is covered with three layers of runner ?",-460.0,,gpt-35-turbo,azure,0,308,200,30.0,Geometry,geometry,5.662562608718872
Baseline,True,geometry,30 square stone slabs of equal size were needed to cover a floor area of 120 sq . m . find the length of each stone slab ?,2.0,,gpt-35-turbo,azure,0,274,12,200.0,Geometry,geometry,0.4347982406616211
Baseline,True,geometry,"points a , b , and , c have xy - coordinates ( 2,0 ) , ( 8,12 ) , and ( 14,0 ) , respectively . points x , y , and z have xy - coordinates ( 6,0 ) , ( 8,4 ) , and ( 10,0 ) , respectively . what fraction w of the area of triangle abc is the area of triangle xyz ?",0.0,,gpt-35-turbo,azure,0,330,200,0.111111111111111,Geometry,geometry,4.5764734745025635
Baseline,True,geometry,"the length of rectangle is thrice its breadth and its perimeter is 48 m , find the area of the rectangle ?",108.0,,gpt-35-turbo,azure,0,267,200,108.0,Geometry,geometry,6.447725296020508
