technique,few_shot_prompting,dataset,question,answer,reasoning,model,service,temperature,prompt_tokens,completion_tokens,correct_answer,category,subcategory,latency_in_seconds
DeclarativeSymPy,False,geometry,"a metallic sheet is of rectangular shape with dimensions 48 m x 36 m . from each of its corners , a square is cut off so as to make an open box . if the length of the square is 3 m , the volume of the box ( in m 3 ) is :",3.0,,gpt-35-turbo,azure,0,213,246,3780.0,Geometry,geometry,5.384598970413208
DeclarativeSymPy,False,geometry,"a circle graph shows how the budget of a certain company was spent : 55 percent for salaries , 9 percent for research and development , 5 percent for utilities , 4 percent for equipment , 2 percent for supplies , and the remainder for transportation . if the area of each sector of the graph is proportional to the percent of the budget it represents , how many degrees of the circle are used to represent transportation ?",360.0,,gpt-35-turbo,azure,0,237,400,90.0,Geometry,geometry,7.321099042892456
DeclarativeSymPy,False,geometry,"if a rectangular billboard has an area of 91 square feet and a perimeter of 40 feet , what is the length of each of the shorter sides ?",2.0,,gpt-35-turbo,azure,0,184,133,7.0,Geometry,geometry,2.960953950881958
DeclarativeSymPy,False,geometry,a volume of 11248 l water is in a container of sphere . how many hemisphere of volume 4 l each will be required to transfer all the water into the small hemispheres ?,6.0,,gpt-35-turbo,azure,0,192,400,2812.0,Geometry,geometry,7.0435967445373535
DeclarativeSymPy,False,geometry,"a hall is 15 m long and 12 m broad . if the sum of the areas of the floor and the ceiling is equal to the sum of the areas of 4 walls , the volume of the hall is :",54.0,,gpt-35-turbo,azure,0,198,400,1200.0,Geometry,geometry,6.933155536651611
DeclarativeSymPy,False,geometry,the parameter of a square is equal to the perimeter of a rectangle of length 20 cm and breadth 14 cm . find the circumference of a semicircle whose diameter is equal to the side of the square . ( round off your answer to two decimal places ),11.0,,gpt-35-turbo,azure,0,206,382,26.703537555513243,Geometry,geometry,4.892431259155273
DeclarativeSymPy,False,geometry,a lamp is put on one corner of a square plot of side 50 m . it ' s light reaches 21 m . find the area of that plot that is lit by that lamp ?,2.0,,gpt-35-turbo,azure,0,192,274,346.3605900582747,Geometry,geometry,3.7666819095611572
DeclarativeSymPy,False,geometry,a certain rectangular crate measures 12 feet by 16 feet by 18 feet . a cylindrical gas tank is to be made for shipment in the crate and will stand upright when the crate is placed on one of its six faces . what should the radius of the tank be if it is to be of the largest possible volume ?,5.0,,gpt-35-turbo,azure,0,218,400,8.0,Geometry,geometry,7.113157749176025
DeclarativeSymPy,False,geometry,"three table runners have a combined area of 224 square inches . by overlapping the runners to cover 80 % of a table of area 175 square inches , the area that is covered by exactly two layers of runner is 24 square inches . what is the area of the table that is covered with three layers of runner ?",7.0,,gpt-35-turbo,azure,0,218,400,30.0,Geometry,geometry,5.746422529220581
DeclarativeSymPy,False,geometry,30 square stone slabs of equal size were needed to cover a floor area of 120 sq . m . find the length of each stone slab ?,30.0,,gpt-35-turbo,azure,0,184,116,200.0,Geometry,geometry,1.7192790508270264
