technique,few_shot_prompting,dataset,question,answer,reasoning,model,service,temperature,prompt_tokens,completion_tokens,correct_answer,category,subcategory,latency_in_seconds
DeclarativeSymPy,True,arithmetic,0.1*3.0=,0.3,"
Let a be the first factor [[var a]]. We're given [[eq a = 0.1]].
Let b be the second factor [[var b]]. We're given [[eq b = 3.0]].
Let p be the product of a and b [[var p]]. We have [[eq p = a * b]].
The answer is the value of p [[answer p]].",gpt-35-turbo,azure,0,793,82,0.3,Arithmetic,arithmetic_mixed,1.7093863487243652
DeclarativeSymPy,True,arithmetic,88254×26228=,2314725912.0,"Let a be the first factor [[var a]]. We're given [[eq a = 88254]].
Let b be the second factor [[var b]]. We're given [[eq b = 26228]].
Let p be the product of a and b [[var p]]. We have [[eq p = a * b]].
The answer is the value of p [[answer p]].",gpt-35-turbo,azure,0,791,79,2314725912.0,Arithmetic,arithmetic_mixed,1.1968088150024414
DeclarativeSymPy,True,arithmetic,37739*66015=,2491340085.0,"Let a be the first factor [[var a]]. We're given [[eq a = 37739]].
Let b be the second factor [[var b]]. We're given [[eq b = 66015]].
Let p be the product of a and b [[var p]]. We have [[eq p = a * b]].
The answer is the value of p [[answer p]].",gpt-35-turbo,azure,0,791,79,2491340085.0,Arithmetic,arithmetic_mixed,1.6751923561096191
DeclarativeSymPy,True,arithmetic,5^4=,625.0,"Let a be the base [[var a]]. We're given [[eq a = 5]].
Let b be the exponent [[var b]]. We're given [[eq b = 4]].
Let p be the power of a raised to b [[var p]]. We have [[eq p = a**b]].
The answer is the value of p [[answer p]].",gpt-35-turbo,azure,0,789,76,625.0,Arithmetic,arithmetic_mixed,1.2822129726409912
DeclarativeSymPy,True,arithmetic,721-847=,-126.0,"Let a be the minuend [[var a]]. We're given [[eq a = 721]].
Let b be the subtrahend [[var b]]. We're given [[eq b = 847]].
Let d be the difference between a and b [[var d]]. We have [[eq d = a - b]].
The answer is the value of d [[answer d]].",gpt-35-turbo,azure,0,789,80,-126.0,Arithmetic,arithmetic_mixed,1.0483696460723877
DeclarativeSymPy,True,arithmetic,774426524175+721318944497=,1495745468672.0,"Let a be the first addend [[var a]]. We're given [[eq a = 774426524175]].
Let b be the second addend [[var b]]. We're given [[eq b = 721318944497]].
Let s be the sum of a and b [[var s]]. We have [[eq s = a + b]].
The answer is the value of s [[answer s]].",gpt-35-turbo,azure,0,795,85,1495745468672.0,Arithmetic,arithmetic_mixed,1.4242007732391357
DeclarativeSymPy,True,arithmetic,7^4=,2401.0,"Let a be the base [[var a]]. We're given [[eq a = 7]].
Let b be the exponent [[var b]]. We're given [[eq b = 4]].
Let p be the power of a raised to b [[var p]]. We have [[eq p = a**b]].
The answer is the value of p [[answer p]].",gpt-35-turbo,azure,0,789,76,2401.0,Arithmetic,arithmetic_mixed,1.3335013389587402
DeclarativeSymPy,True,arithmetic,"What is next in 1964, 3923, 5880, 7835?",9840.0,"Let n be the position in the sequence of numbers [[var n]]. We're given [[eq n = 5]].
Let a_1, a_2, a_3, a_4 be the initial terms of the sequence, with values [[eq a_1 = 1964]], [[eq a_2 = 3923]], [[eq a_3 = 5880]], [[eq a_4 = 7835]].
Let a_n be the term in the sequence at position n [[var a_n]]. We derive [[eq a_n = (n-1)*1969 + 1964]] based on the pattern established by the initial terms.
The answer is the value of a_n [[answer a_n]].",gpt-35-turbo,azure,0,804,151,9788.0,Arithmetic,sequence_next_term,3.110386848449707
DeclarativeSymPy,True,arithmetic,"What comes next: 17, 49, 129, 281, 529, 897, 1409?",232.0,"Let n be the position in the sequence [[var n]]. We're given [[eq n = 7]].
Let a_1, a_2, a_3, a_4, a_5, a_6, a_7 be the terms of the sequence, with values [[eq a_1 = 17]], [[eq a_2 = 49]], [[eq a_3 = 129]], [[eq a_4 = 281]], [[eq a_5 = 529]], [[eq a_6 = 897]], [[eq a_7 = 1409]].
Let a_n be the term in the sequence at position n [[var a_n]]. We derive [[eq a_n = 2^n + 15n - 1]] based on the pattern established by the given terms.
The answer is the value of a_n [[answer a_n]].",gpt-35-turbo,azure,0,810,183,2089.0,Arithmetic,sequence_next_term,3.522218704223633
DeclarativeSymPy,True,arithmetic,"What is the next term in -1691, -1690, -1689, -1688?",-1687.0,"
Let n be the position in the sequence of terms [[var n]]. We're given [[eq n = 5]].
Let a_1, a_2, a_3, a_4 be the initial terms of the sequence, with values [[eq a_1 = -1691]], [[eq a_2 = -1690]], [[eq a_3 = -1689]], [[eq a_4 = -1688]].
Let a_n be the term in the sequence at position n [[var a_n]]. We derive [[eq a_n = a_1 + (n-1)]] based on the pattern established by the initial terms.
The answer is the value of a_n [[answer a_n]].
",gpt-35-turbo,azure,0,806,151,-1687.0,Arithmetic,sequence_next_term,2.806389808654785
