technique,few_shot_prompting,dataset,question,answer,reasoning,model,service,temperature,prompt_tokens,completion_tokens,correct_answer,category,subcategory,latency_in_seconds
DeclarativeSymPy,True,wordProblems,"Paco 's Countertop Company purchased pieces of marble from a quarry . The weights of the pieces they purchased were 0.3333333333333333 ton , 0.3333333333333333 ton , and 0.08333333333333333 ton . How many tons of marble did Paco 's Countertop Company purchase in all ? ",0.75,"Let a be the weight of the first piece of marble purchased [[var a]]. We're given [[eq a = 0.3333333333333333]] ton.
Let b be the weight of the second piece of marble purchased [[var b]]. We're given [[eq b = 0.3333333333333333]] ton.
Let c be the weight of the third piece of marble purchased [[var c]]. We're given [[eq c = 0.08333333333333333]] ton.
Let d be the total weight of marble purchased [[var d]]. We have [[eq d = a + b + c]].
The answer is the value of d [[answer d]].",gpt-35-turbo,azure,0,1093,142,0.75,Word Problems,add_sub,2.7931928634643555
DeclarativeSymPy,True,wordProblems,"While playing a video game , Paul scored 3103 points . He and his cousin together have a total of 5816 points . How many points does Paul 's cousin have ? ",2713.0,"Let a be the number of points Paul scored [[var a]]. We're given [[eq a = 3103]]. 
Let b be the total number of points Paul and his cousin have [[var b]]. We're given [[eq b = 5816]].
Let c be the number of points Paul's cousin has [[var c]]. We have [[eq c = b - a]].
The answer is the value of c [[answer c]].",gpt-35-turbo,azure,0,1054,91,2713.0,Word Problems,add_sub,1.2646613121032715
DeclarativeSymPy,True,wordProblems,A worker at a medical lab is studying blood samples . 2 samples contained a total of 7341 blood cells . The first sample contained 4221 blood cells . How many blood cells were in the second sample ? ,3120.0,"Let a be the number of blood cells in the first sample [[var a]]. We're given [[eq a = 4221]]. 
Let b be the number of blood cells in the second sample [[var b]].
Let c be the total number of blood cells in both samples [[var c]]. We're given [[eq c = 7341]].
We know that the total number of blood cells is the sum of the number of blood cells in each sample, so we have the equation [[eq c = a + b]].
The answer is the value of b [[answer b]].",gpt-35-turbo,azure,0,1061,120,3120.0,Word Problems,add_sub,2.7122349739074707
DeclarativeSymPy,True,wordProblems,Tim has 44 books . Sam has 52 books . How many books do they have together ? ,96.0,"Let a be the number of books Tim has [[var a]]. We're given [[eq a = 44]]. 
Let b be the number of books Sam has [[var b]]. We're given [[eq b = 52]].
Let c be the total number of books they have together [[var c]]. We have [[eq c = a + b]].
The answer is the value of c [[answer c]].",gpt-35-turbo,azure,0,1037,85,96.0,Word Problems,add_sub,1.5794603824615479
DeclarativeSymPy,True,wordProblems,"A ship full of grain crashes into a coral reef . By the time the ship is fixed , 49952 tons of grain have spilled into the water . Only 918 tons of grain remain onboard . How many tons of grain did the ship originally contain ? ",50870.0,"Let a be the original amount of grain the ship contained [[var a]].
We're given that 49952 tons of grain have spilled into the water, so the amount of grain remaining onboard is a - 49952 [[eq a - 49952 = 918]].
We're given that the remaining amount of grain onboard is 918 tons, so we have a - 49952 = 918 [[eq a - 49952 = 918]].
To find the original amount of grain, we solve the equation for a.
The answer is the value of a [[answer a]].",gpt-35-turbo,azure,0,1068,121,50870.0,Word Problems,add_sub,2.5937118530273438
DeclarativeSymPy,True,wordProblems,"Joan 's high school played 864 baseball games this year , 128 of the games were played at night . She attended 395 games . How many baseball games did Joan miss ? ",469.0,"Let a be the total number of baseball games played this year [[var a]]. We're given [[eq a = 864]]. 
Let b be the number of games played at night [[var b]]. We're given [[eq b = 128]].
Let c be the number of games Joan attended [[var c]]. We're given [[eq c = 395]].
Let d be the number of games Joan missed [[var d]]. We have [[eq d = a - c]].
The answer is the value of d [[answer d]].",gpt-35-turbo,azure,0,1054,111,469.0,Word Problems,add_sub,1.525989294052124
DeclarativeSymPy,True,wordProblems,"Benny received 79 dollars and 9 movie tickets for his birthday . He went to a sporting goods store and bought a baseball glove , baseball , and bat . He had 32 dollars over , how much did he spent on the baseball gear ? ",47.0,"Let a be the amount of money Benny received for his birthday [[var a]]. We're given [[eq a = 79]].
Let b be the number of movie tickets Benny received for his birthday [[var b]]. We're given [[eq b = 9]].
Let c be the total cost of the baseball gear Benny bought [[var c]].
Let d be the amount of money Benny had left after buying the baseball gear [[var d]]. We're given [[eq d = 32]].
We know that the cost of the baseball gear plus the amount of money left equals the amount of money Benny received, so we have the equation [[eq c + d = a]].
The answer is the value of c [[answer c]].
",gpt-35-turbo,azure,0,1066,151,47.0,Word Problems,add_sub,2.230536460876465
DeclarativeSymPy,True,wordProblems,"Kevin bought 2 watermelons . The first watermelon was 9.91 pounds , and the second watermelon was 4.11 pounds . How many pounds of watermelon did Kevin buy ? ",14.02,"Let a be the weight of the first watermelon Kevin bought [[var a]]. We're given [[eq a = 9.91]].
Let b be the weight of the second watermelon Kevin bought [[var b]]. We're given [[eq b = 4.11]].
Let c be the total weight of watermelons Kevin bought [[var c]]. We have [[eq c = a + b]].
The answer is the value of c [[answer c]].",gpt-35-turbo,azure,0,1058,96,14.02,Word Problems,add_sub,1.7082083225250244
DeclarativeSymPy,True,wordProblems,"Mary found 45 seashells , Melanie found 23 seashells , and Jason found 32 seashells on the beach . When they cleaned them , they discovered that 31 were cracked . How many seashells did they find together ? ",69.0,"Let a be the number of seashells Mary found [[var a]]. We're given [[eq a = 45]]. 
Let b be the number of seashells Melanie found [[var b]]. We're given [[eq b = 23]].
Let c be the number of seashells Jason found [[var c]]. We're given [[eq c = 32]].
Let d be the number of cracked seashells [[var d]]. We're given [[eq d = 31]].
Let e be the total number of seashells they found together [[var e]]. We have [[eq e = a + b + c - d]].
The answer is the value of e [[answer e]].",gpt-35-turbo,azure,0,1068,146,100.0,Word Problems,add_sub,2.4430394172668457
DeclarativeSymPy,True,wordProblems,There are 9 oak trees currently in the park . Park workers had to cut down 2 oak trees that were damaged . How many oak trees will the park have when the workers are finished ? ,7.0,"
Let a be the number of oak trees currently in the park [[var a]]. We're given [[eq a = 9]]. 
Let b be the number of oak trees that were cut down by the workers [[var b]]. We're given [[eq b = 2]].
Let c be the number of oak trees the park will have when the workers are finished [[var c]]. We have [[eq c = a - b]].
The answer is the value of c [[answer c]].",gpt-35-turbo,azure,0,1056,101,7.0,Word Problems,add_sub,1.9292211532592773
