technique,few_shot_prompting,dataset,question,answer,reasoning,model,service,temperature,prompt_tokens,completion_tokens,correct_answer,category,subcategory,latency_in_seconds
Baseline,False,geometry,"a metallic sheet is of rectangular shape with dimensions 48 m x 36 m . from each of its corners , a square is cut off so as to make an open box . if the length of the square is 3 m , the volume of the box ( in m 3 ) is :",3.0,,gpt-35-turbo,azure,0,92,200,3780.0,Geometry,geometry,2.147329092025757
Baseline,False,geometry,"a circle graph shows how the budget of a certain company was spent : 55 percent for salaries , 9 percent for research and development , 5 percent for utilities , 4 percent for equipment , 2 percent for supplies , and the remainder for transportation . if the area of each sector of the graph is proportional to the percent of the budget it represents , how many degrees of the circle are used to represent transportation ?",90.0,,gpt-35-turbo,azure,0,116,155,90.0,Geometry,geometry,3.0871737003326416
Baseline,False,geometry,"if a rectangular billboard has an area of 91 square feet and a perimeter of 40 feet , what is the length of each of the shorter sides ?",2.0,,gpt-35-turbo,azure,0,63,200,7.0,Geometry,geometry,4.0722901821136475
Baseline,False,geometry,a volume of 11248 l water is in a container of sphere . how many hemisphere of volume 4 l each will be required to transfer all the water into the small hemispheres ?,4.0,,gpt-35-turbo,azure,0,71,121,2812.0,Geometry,geometry,1.4357657432556152
Baseline,False,geometry,"a hall is 15 m long and 12 m broad . if the sum of the areas of the floor and the ceiling is equal to the sum of the areas of 4 walls , the volume of the hall is :","To find the volume of the hall, we need to know the height of the hall. Unfortunately, the height is not given in the problem. Therefore, we cannot determine the volume of the hall with the given information.",,gpt-35-turbo,azure,0,77,44,1200.0,Geometry,geometry,0.4904801845550537
Baseline,False,geometry,the parameter of a square is equal to the perimeter of a rectangle of length 20 cm and breadth 14 cm . find the circumference of a semicircle whose diameter is equal to the side of the square . ( round off your answer to two decimal places ),53.41,,gpt-35-turbo,azure,0,85,200,26.703537555513243,Geometry,geometry,3.1775805950164795
Baseline,False,geometry,a lamp is put on one corner of a square plot of side 50 m . it ' s light reaches 21 m . find the area of that plot that is lit by that lamp ?,1385.44,,gpt-35-turbo,azure,0,71,122,346.3605900582747,Geometry,geometry,0.9792511463165283
Baseline,False,geometry,a certain rectangular crate measures 12 feet by 16 feet by 18 feet . a cylindrical gas tank is to be made for shipment in the crate and will stand upright when the crate is placed on one of its six faces . what should the radius of the tank be if it is to be of the largest possible volume ?,2.0,,gpt-35-turbo,azure,0,97,200,8.0,Geometry,geometry,2.12829327583313
Baseline,False,geometry,"three table runners have a combined area of 224 square inches . by overlapping the runners to cover 80 % of a table of area 175 square inches , the area that is covered by exactly two layers of runner is 24 square inches . what is the area of the table that is covered with three layers of runner ?",3.0,,gpt-35-turbo,azure,0,97,200,30.0,Geometry,geometry,2.7083213329315186
Baseline,False,geometry,30 square stone slabs of equal size were needed to cover a floor area of 120 sq . m . find the length of each stone slab ?,4.0,,gpt-35-turbo,azure,0,63,81,200.0,Geometry,geometry,1.4574685096740723
Baseline,False,geometry,"points a , b , and , c have xy - coordinates ( 2,0 ) , ( 8,12 ) , and ( 14,0 ) , respectively . points x , y , and z have xy - coordinates ( 6,0 ) , ( 8,4 ) , and ( 10,0 ) , respectively . what fraction w of the area of triangle abc is the area of triangle xyz ?",0.0,,gpt-35-turbo,azure,0,119,200,0.111111111111111,Geometry,geometry,2.091219902038574
Baseline,False,geometry,"the length of rectangle is thrice its breadth and its perimeter is 48 m , find the area of the rectangle ?",18.0,,gpt-35-turbo,azure,0,56,200,108.0,Geometry,geometry,2.2140450477600098
Baseline,False,geometry,the area of a rhombus is equal to the area of a rectangle whose length is 20 cm and the breadth is 10 cm . if one of the diagonals is 32 cm what is the length of other diagonal ?,12.5,,gpt-35-turbo,azure,0,79,154,12.5,Geometry,geometry,1.2299659252166748
Baseline,False,geometry,"2 corner most boxes of a chess board ( diagonally opposite ) haven been cut out there ' s a rectangular block = 2 sqaures of chess board , how many such blocks can be placed on the chess board ? ”",7.0,,gpt-35-turbo,azure,0,79,200,30.0,Geometry,geometry,1.987555980682373
Baseline,False,geometry,the surface of a cube is 150 sq cm . find its volume ?,125.0,,gpt-35-turbo,azure,0,47,200,125.0,Geometry,geometry,2.275339126586914
Baseline,False,geometry,a steel vessel has a base of length 60 cm and breadth 30 cm . water is poured in the vessel . a cubical steel box having edge of 30 cm is immersed completely in the vessel . how much will the water rise ?,3.0,,gpt-35-turbo,azure,0,81,114,15.0,Geometry,geometry,1.230513095855713
Baseline,False,geometry,"if the sides of a square are multiplied by sqrt ( 5 ) , the area of the original square is how many times as large as the area of the resultant square ?",5.0,,gpt-35-turbo,azure,0,67,184,20.0,Geometry,geometry,2.3617281913757324
Baseline,False,geometry,"if n is the smallest integer such that 432 times n is the square of an integer , what is the value of n ?",3.0,,gpt-35-turbo,azure,0,58,183,3.0,Geometry,geometry,2.315575122833252
Baseline,False,geometry,the floor of a rectangular room is 19 m long and 12 m wide . the room is surrounded by a veranda of width 2 m on all its sides . the area of the veranda is :,368.0,,gpt-35-turbo,azure,0,75,200,140.0,Geometry,geometry,2.3062186241149902
Baseline,False,geometry,what is the area of a square field whose diagonal of length 10 m ?,2.0,,gpt-35-turbo,azure,0,48,200,50.0,Geometry,geometry,1.8492209911346436
Baseline,False,geometry,find the perimeter and area of a square of side 13 cm .,169.0,,gpt-35-turbo,azure,0,46,112,169.0,Geometry,geometry,1.4956271648406982
Baseline,False,geometry,"an equilateral triangle t 2 is formed by joining the mid points of the sides of another equilateral triangle t 1 . a third equilateral triangle t 3 is formed by joining the mid - points of t 2 and this process is continued indefinitely . if each side of t 1 is 60 cm , find the sum of the perimeters of all the triangles .",1.0,,gpt-35-turbo,azure,0,109,200,360.0,Geometry,geometry,1.685096025466919
Baseline,False,geometry,the area of a parallelogram is 128 sq m . then the area of a triangle formed by its diagonal is - - - - - - - - - - ?,"To find the area of the triangle formed by the diagonal of a parallelogram, we need to know the length of the diagonal and the length of the base of the parallelogram.

Unfortunately, the problem does not provide any information about the length of the diagonal or the length of the base. Therefore, we cannot determine the area of the triangle formed by the diagonal.",,gpt-35-turbo,azure,0,67,75,64.0,Geometry,geometry,0.8595893383026123
Baseline,False,geometry,a rectangle the length of which is 8 inches and the width of which is 6 inches is made up 48 1 inch by 1 inch squares . through how many of the squares does a diagonal of the rectangle pass ?,48.0,,gpt-35-turbo,azure,0,79,179,12.0,Geometry,geometry,1.370743989944458
Baseline,False,geometry,"if the diameter of circle r is 60 % of the diameter of circle s , the area of circle r is what percent of the area of circle s ?",2.0,,gpt-35-turbo,azure,0,64,200,36.0,Geometry,geometry,1.8199660778045654
Baseline,False,geometry,"the area of a rectangular plot is 360 square metres . if the length is 25 % less than the breadth , what is the breadth of the plot ?",21.91,,gpt-35-turbo,azure,0,64,171,21.908902300206645,Geometry,geometry,2.1245179176330566
Baseline,False,geometry,how much greater is the combined area in square inches of the front and back of a rectangular sheet of paper measuring 11 inches by 13 inches than that of a rectangular sheet of paper measuring 6.5 inches by 11 inches ?,71.5,,gpt-35-turbo,azure,0,80,200,100.0,Geometry,geometry,2.6230897903442383
Baseline,False,geometry,"if g is the smallest positive integer such that 3150 multiplied by g is the square of an integer , then g must be",14.0,,gpt-35-turbo,azure,0,58,160,14.0,Geometry,geometry,1.3070905208587646
Baseline,False,geometry,"the width of a rectangular hall is ½ of its length . if the area of the hall is 288 sq . m , what is the difference between its length and breadth ?",12.0,,gpt-35-turbo,azure,0,68,200,12.0,Geometry,geometry,2.411059617996216
Baseline,False,geometry,the slant height of a right circular cone is 10 m and its height is 8 m . find the area of its curved surface .,6.0,,gpt-35-turbo,azure,0,61,200,60.0,Geometry,geometry,1.7138593196868896
Baseline,False,geometry,"hall is 15 m long and 12 m broad . if the sum of the areas of the floor and the ceiling is equal to the sum of the areas of four walls , the volume of the hall is :","To find the volume of the hall, we need to know the height of the hall. Unfortunately, the height is not given in the problem. Therefore, we cannot determine the volume of the hall with the given information.",,gpt-35-turbo,azure,0,75,44,1200.0,Geometry,geometry,0.46723413467407227
Baseline,False,geometry,"a cube of edge 12 cm is immersed completely in a rectangular vessel containing water . if the dimensions of the base of vessel are 20 cm * 15 cm , find the rise in water level ?",1.152,,gpt-35-turbo,azure,0,73,200,5.76,Geometry,geometry,1.7133820056915283
Baseline,False,geometry,a circular wire of radius 42 cm is cut and bent into the form of a rectangle whose sides are in the ratio of 6 : 5 . the smaller side of the rectangle is :,22.0,,gpt-35-turbo,azure,0,71,200,59.975859750350594,Geometry,geometry,1.6152164936065674
Baseline,False,geometry,the diagonal of the floor of a rectangular closet is 7 feet . the shorter side of the closet is 4 feet . what is the area of the closet in square feet ?,33.0,,gpt-35-turbo,azure,0,68,181,27.0,Geometry,geometry,2.1182451248168945
Baseline,False,geometry,"a crate measures 3 feet by 8 feet by 12 feet on the inside . a stone pillar in the shape of a right circular cylinder must fit into the crate for shipping so that it rests upright when the crate sits on at least one of its six sides . what is the radius , in feet , of the pillar with the largest volume that could still fit in the crate ?",3.0,,gpt-35-turbo,azure,0,109,124,3.0,Geometry,geometry,1.234544038772583
Baseline,False,geometry,"if each side of a right triangle is increased by 10 % and the base ( b ) is half of the height , find the percentage change in its area ?",100.0,,gpt-35-turbo,azure,0,65,200,21.000000000000018,Geometry,geometry,1.755100965499878
Baseline,False,geometry,"32 meters of wire is available to fence off a flower bed in the form of a circular sector . what must the radius of the circle in meters be , if we wish to have a flower bed with the greatest possible surface area ?",5.09,,gpt-35-turbo,azure,0,79,119,8.0,Geometry,geometry,1.2659077644348145
Baseline,False,geometry,"a rectangular floor that measures 24 meters by 64 meters is to be covered with carpet squares that each measure 8 meters by 8 meters . if the carpet squares cost $ 24 apiece , what is the total cost for the number of carpet squares needed to cover the floor ?",576.0,,gpt-35-turbo,azure,0,90,166,576.0,Geometry,geometry,1.7734506130218506
Baseline,False,geometry,"the side of a cube is 12 m , find the lateral surface area ?",576.0,,gpt-35-turbo,azure,0,48,69,516.0,Geometry,geometry,0.9472000598907471
Baseline,False,geometry,"a rectangular field is to be fenced on three sides leaving a side of 20 feet uncovered . if the area of the field is 60 sq . feet , how many feet of fencing will be required ?",-10.0,,gpt-35-turbo,azure,0,73,200,26.0,Geometry,geometry,1.7568511962890625
Baseline,False,geometry,"if the volume of a cube is x ^ 3 cubic units , what is the number of square units in the surface area of the cube ?",2.0,,gpt-35-turbo,azure,0,61,43,6.0,Geometry,geometry,0.40972042083740234
Baseline,False,geometry,"a metallic sheet is of rectangular shape with dimensions 48 m x 38 m . from each of its corners , a square is cut off so as to make an open box . if the length of the square is 8 m , the volume of the box ( in m 3 ) is :",8.0,,gpt-35-turbo,azure,0,92,200,5632.0,Geometry,geometry,2.2784852981567383
Baseline,False,geometry,"the sides of a square region , measured to the nearest centimeter , are 10 centimeters long . the least possible value of the actual area of the square region is",90.25,,gpt-35-turbo,azure,0,66,137,90.25,Geometry,geometry,1.1525914669036865
Baseline,False,geometry,"the volume of a certain substance is always directly proportional to its weight . if 48 cubic inches of the substance weigh 112 ounces , what is the volume , in cubic inches , of 84 ounces of this substance ?",36.0,,gpt-35-turbo,azure,0,76,165,36.0,Geometry,geometry,1.8232908248901367
Baseline,False,geometry,the base and height of a parallelogram are 12 m and 6 m respectively . then its area is = = = = = = ?,72.0,,gpt-35-turbo,azure,0,62,63,72.0,Geometry,geometry,0.5457718372344971
Baseline,False,geometry,"a certain farmer pays $ 60 per acre per month to rent farmland . how much does the farmer pay per month to rent a rectangular plot of farmland that is 360 feet by 1210 feet ? ( 43,560 square feet = 1 acre )",600.0,,gpt-35-turbo,azure,0,87,198,600.0,Geometry,geometry,1.860381841659546
Baseline,False,geometry,find the area of a parallelogram with base 26 cm and height 14 cm ?,364.0,,gpt-35-turbo,azure,0,51,78,364.0,Geometry,geometry,0.8361663818359375
Baseline,False,geometry,"thin rectangular slab of potato was cut into two pieces for an osmosis lab . one piece is 50 mm greater than the other . if the original uncut slab is 600 mm , what is the length of the other piece of the potato after it is cut .",275.0,,gpt-35-turbo,azure,0,87,154,275.0,Geometry,geometry,1.4996461868286133
Baseline,False,geometry,"a cubic object 3 ' ' x 3 ' ' x 3 ' ' is painted blue on all the outside surfaces , including the top and bottom . if the cube is cut into 27 cubes of 1 ' ' x 1 ' ' x 1 ' ' , how many 1 ' ' cubes do have any painted surfaces ?",54.0,,gpt-35-turbo,azure,0,102,200,26.0,Geometry,geometry,1.8786191940307617
Baseline,False,geometry,the area of a square is 144 m ² . find its perimeter .,48.0,,gpt-35-turbo,azure,0,48,120,48.0,Geometry,geometry,1.1986703872680664
Baseline,False,geometry,"huey ' s hip pizza sells two sizes of square pizzas : a small pizza that measures 14 inches on a side and costs $ 10 , and a large pizza that measures 21 inches on a side and costs $ 20 . if two friends go to huey ' s with $ 30 apiece , how many more square inches of pizza can they buy if they pool their money than if they each purchase pizza alone ?",6.0,,gpt-35-turbo,azure,0,119,200,49.0,Geometry,geometry,1.575246810913086
Baseline,False,geometry,what is the area of square field whose side of length 17 m ?,289.0,,gpt-35-turbo,azure,0,47,55,289.0,Geometry,geometry,0.5943326950073242
Baseline,False,geometry,a spirit and water solution is sold in a market . the cost per liter of the solution is directly proportional to the part ( fraction ) of spirit ( by volume ) the solution has . a solution of 1 liter of spirit and 1 liter of water costs 30 cents . how many cents does a solution of 1 liter of spirit and 2 liters of water cost ?,3.0,,gpt-35-turbo,azure,0,108,200,30.0,Geometry,geometry,1.7104859352111816
